;Unnamed;Nose_X;Nose_Y;Nose_Conf;Neck_X;Neck_Y;Neck_Conf;Rshoulder_X;Rshoulder_Y;Rshoulder_Conf;Relbow_X;Relbow_Y;Relbow_Conf;Rwrist_X;Rwrist_Y;Rwrist_Conf;Lshoulder_X;Lshoulder_Y;Lshoulder_Conf;Lelbow_X;Lelbow_Y;Lelbow_Conf;Lwrist_X;Lwrist_Y;Lwrist_Conf;MidHip_X;MidHip_Y;MidHip_Conf;Rhip_X;Rhip_Y;Rhip_Conf;Rknee_X;Rknee_Y;Rknee_Conf;Rankle_X;Rankle_Y;Rankle_Conf;Lhip_X;Lhip_Y;Lhip_Conf;Lknee_X;Lknee_Y;Lknee_Conf;Lankle_X;Lankle_Y;Lankle_Conf;Reye_X;Reye_Y;Reye_Conf;Leye_X;Leye_Y;Leye_Conf;Rear_X;Rear_Y;Rear_Conf;Lear_X;Lear_Y;Lear_Conf;Lbigtoe_X;Lbigtoe_Y;Lbigtoe_Conf;Lsmalltoe_X;Lsmalltoe_Y;Lsmalltoe_Conf;Lheel_X;Lheel_Y;Lheel_Conf;Rbigtoe_X;Rbigtoe_Y;Rbigtoe_Conf;Rsmalltoe_X;Rsmalltoe_Y;Rsmalltoe_Conf;Rheel_X;Rheel_Y;Rheel_Conf;Filename;Imagename;braycurtis;canberra;chebyshev;cityblock;correlation;cosine;euclidean;jensenshannon;mahalanobis;minkowski;seuclidean;sqeuclidean;dice;hamming;jaccard;kulsinski;rogerstanimoto;russellrao;sokalmichener;sokalsneath;yule;mahalanobis_minpeak;MahalanobisSummary;UnifSamplBaseline;SBDBaseline
0;0;1398.63;762.8380000000001;0.909027;1327.97;836.331;0.736783;1289.63;789.357;0.555307;0.0;0.0;0.0;0.0;0.0;0.0;1357.36;880.584;0.630559;1539.73;904.172;0.88185;1469.25;853.9939999999999;0.714918;1077.69;818.765;0.24681199999999998;1065.95;830.4760000000001;0.312242;989.427;848.1289999999999;0.5341020000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1407.38;742.2610000000001;0.876592;1428.09;777.4730000000001;0.840194;0.0;0.0;0.0;1445.72;833.3539999999999;0.847035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000049758_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000049758_rendered.png;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.077346494836324;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000049758_rendered.png;
74;74;1398.53;742.081;0.881649;1327.88;839.312;0.562125;1298.47;803.977;0.397886;0.0;0.0;0.0;0.0;0.0;0.0;1342.65;880.429;0.505662;1416.21;901.028;0.342305;1513.27;901.125;0.423918;1095.43;854.054;0.0821458;1095.4;795.176;0.0664686;1139.6;615.658;0.259261;927.71;436.01;0.346858;1115.98;910.005;0.09928680000000001;0.0;0.0;0.0;0.0;0.0;0.0;1422.09;736.296;0.07845260000000001;1424.96;754.002;0.880173;0.0;0.0;0.0;1430.98;815.882;0.816647;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;886.4069999999999;333.087;0.12775799999999998;886.421;336.015;0.11315399999999999;918.7410000000001;433.17;0.0803559;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000050202_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000050202_rendered.png;0.161274174960865;14.531943269278376;0.19347209984317354;1.8123748680233507;0.2967719301813553;0.11008107827678215;0.4692144036083761;0.31725123498794117;6.5240827859291075;0.4692144036083761;5.005962659693317;0.22016215655356408;0.8416211321231747;0.84;1.0;0.9850328172689398;0.31814085916073165;0.9822016215655357;0.31814085916073165;0.955068083478086;0.7756466024304517;4.856383551145504;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000050202_rendered.png
75;75;1395.51;739.395;0.8542069999999999;1375.08;860.0239999999999;0.23321599999999998;1327.91;836.4;0.14038;0.0;0.0;0.0;0.0;0.0;0.0;1416.22;883.503;0.097785;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1410.28;733.332;0.144448;1422.06;748.085;0.864025;0.0;0.0;0.0;1442.63;815.789;0.6979350000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000050208_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000050208_rendered.png;0.4374021229572641;22.34673461030946;0.25552829760725154;3.9955796801503274;0.41720638543915034;0.2885027110719226;0.7596087296390458;0.4852393820466008;6.079080014207893;0.7596087296390458;8.227905997318226;0.577005422143845;0.8442226412344902;0.68;1.0;0.9876715462552866;0.26725218260674766;0.9857700542214384;0.26725218260674766;0.9559037639172717;0.6408586045850616;4.791993980605062;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000050208_rendered.png
100;100;1463.32;433.17;0.868044;1310.24;630.314;0.635694;1219.04;515.578;0.345854;1139.62;486.209;0.202955;0.0;0.0;0.0;1398.47;748.043;0.531054;1204.34;674.546;0.702477;1198.41;459.773;0.658137;898.173;739.263;0.07747380000000001;868.758;671.597;0.112567;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1480.93;389.13800000000003;0.839968;1536.8;456.717;0.89848;0.0;0.0;0.0;1557.47;577.425;0.8535799999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000050358_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000050358_rendered.png;0.0033705922061699196;0.10687440958908312;0.003996480501184327;0.03035495758443671;5.510289681998071e-05;3.3541331003084096e-05;0.008190400601071764;0.00373641696978578;0.2748077066248348;0.008190400601071764;0.1002944525552106;6.708266200603672e-05;0.7779289170379776;0.48;1.0;0.9824585415084451;0.24579531248443784;0.98000067082662;0.24579531248443784;0.9333877360668553;0.45226155806062474;4.402639084063891;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000050358_rendered.png;
125;125;1489.82;432.991;0.854184;1333.84;647.941;0.43108199999999997;1269.02;550.891;0.30045700000000003;1160.1;409.64;0.057133699999999996;1133.65;265.29200000000003;0.053725;1395.6;753.99;0.423658;1189.65;698.015;0.68101;1174.84;512.6080000000001;0.634047;927.6289999999999;724.525;0.07218730000000001;924.677;665.669;0.09410139999999999;0.0;0.0;0.0;0.0;0.0;0.0;951.164;809.932;0.0665267;0.0;0.0;0.0;0.0;0.0;0.0;1510.34;400.824;0.765722;1548.68;459.561;0.858664;0.0;0.0;0.0;1563.37;589.124;0.8427709999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000050508_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000050508_rendered.png;0.013463954647788377;0.5507709743595972;0.028315693800691592;0.13130745359992457;0.0014908898286005723;0.0008070813407538013;0.0401766434823458;0.02157739452604818;0.8246833157671772;0.0401766434823458;0.4797083981511403;0.0016141626815075192;0.7950902591987038;0.56;1.0;0.9826991958923788;0.2685221457698026;0.980016141626815;0.2685221457698026;0.9394702065910359;0.5344969471158153;3.107425663704168;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000050508_rendered.png;;
169;169;1357.44;712.773;0.8286819999999999;1322.01;815.842;0.5045189999999999;1307.35;795.2239999999999;0.337943;1233.61;695.105;0.0696772;0.0;0.0;0.0;1328.0;839.38;0.6802739999999999;1230.74;689.168;0.806267;1186.67;506.861;0.85462;1021.86;830.424;0.402721;1039.48;795.195;0.293688;1116.09;598.045;0.710923;833.309;380.156;0.450535;1015.87;854.0219999999999;0.429037;998.2639999999999;586.2090000000001;0.562561;854.002;397.87300000000005;0.271502;0.0;0.0;0.0;1392.63;715.704;0.8863469999999999;0.0;0.0;0.0;1413.26;777.5210000000001;0.821699;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000050772_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000050772_rendered.png;0.25391989297764966;14.861306323054436;0.3005101539063751;2.482396756231193;0.2992969573054769;0.17182977838017;0.5862248346499318;0.36531938823376686;7.603027059359643;0.5862248346499318;6.001387161113761;0.34365955676034;0.8305759194108463;0.68;1.0;0.985750674219229;0.2794206542586661;0.9834365955676034;0.2794206542586661;0.9514784392369372;0.6461139454092316;3.1432270632670622;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000050772_rendered.png
200;200;1345.54;695.2689999999999;0.847549;1324.88;804.0269999999999;0.669179;1319.11;795.1439999999999;0.529999;1221.91;762.802;0.18896300000000002;1095.35;559.69;0.062348;1327.82;809.8919999999999;0.709761;1189.56;683.32;0.45998500000000003;1110.13;583.239;0.107635;1021.79;833.403;0.46808900000000003;1024.8;804.013;0.350765;1142.57;618.591;0.31459899999999996;927.508;509.7;0.06927380000000001;1018.87;859.9169999999999;0.478293;971.7710000000001;683.315;0.07837999999999999;806.927;350.72900000000004;0.133425;0.0;0.0;0.0;1360.31;695.1389999999999;0.8801610000000001;0.0;0.0;0.0;1389.75;742.09;0.892882;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000050958_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000050958_rendered.png;0.008487764623055023;0.35088108826789277;0.022874312948180514;0.09491985566387767;0.0012284553345854876;0.0004615656222650699;0.03038307496831589;0.012954820444812143;0.7909647356536345;0.03038307496831589;0.376589771005468;0.0009231312445303037;0.8212418907854762;0.68;1.0;0.9831113581890837;0.31035593729515115;0.9800092313124453;0.31035593729515115;0.9483913779196861;0.6926770940909376;3.3844207178467425;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000050958_rendered.png;
227;227;1360.29;721.566;0.848915;1316.1;815.798;0.46733900000000006;1301.45;786.346;0.315693;1260.33;718.581;0.42855699999999997;0.0;0.0;0.0;1330.74;865.788;0.704553;1260.26;706.898;0.746775;1236.81;518.536;0.6788029999999999;1039.44;830.4910000000001;0.274932;1051.24;801.051;0.198454;1095.35;597.92;0.361028;886.487;433.14099999999996;0.22521799999999997;1027.67;845.258;0.319255;1095.41;592.065;0.36601999999999996;889.326;430.25800000000004;0.228527;1380.93;715.655;0.382761;1392.66;736.235;0.8789530000000001;0.0;0.0;0.0;1413.27;792.337;0.83547;0.0;0.0;0.0;0.0;0.0;0.0;853.993;447.852;0.085609;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000051120_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000051120_rendered.png;0.005942035037057798;0.23996217849572468;0.006183903475135158;0.0679198471490771;0.0002891742335838776;0.00010336626666618276;0.014378196456179729;0.005687161388041948;0.46766187287764216;0.014378196456179729;0.1801424967720591;0.0002067325333324993;0.8250461071256887;0.72;1.0;0.9831753929366568;0.3173653660053873;0.9800020673253332;0.3173653660053873;0.9496555599533709;0.7195552389033366;2.695187782134637;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000051120_rendered.png;;
228;228;1401.51;648.126;0.909068;1369.12;839.295;0.21994699999999998;1263.13;753.9580000000001;0.193166;1113.05;547.871;0.42748500000000006;1083.62;312.436;0.680389;1519.18;945.26;0.202228;1377.98;977.654;0.42394499999999996;1283.81;768.696;0.127869;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1433.87;621.364;0.800739;1472.23;671.541;0.9156690000000001;0.0;0.0;0.0;1525.15;792.3389999999999;0.806088;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000051126_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000051126_rendered.png;0.3104097705574416;19.74191940629688;0.21151081582940034;3.1523089226441257;0.37074067343257266;0.20451047745765083;0.6395474610342079;0.4160815302252483;6.879724205167968;0.6395474610342079;7.143909140783313;0.4090209549153016;0.8433353289714391;0.76;1.0;0.9864168266758824;0.29247614969127245;0.984090209549153;0.29247614969127245;0.9556191486333693;0.7133492648958608;2.7652509656245328;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000051126_rendered.png
300;300;1395.54;456.673;0.871825;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1422.17;427.292;0.650029;1460.32;462.555;0.864267;0.0;0.0;0.0;1522.14;597.906;0.864083;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000051558_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000051558_rendered.png;0.549151955510373;17.79402315450821;0.28647521069073106;3.874097184382453;0.44621609999623957;0.3737811765769614;0.8646168822975426;0.5531368825058566;9.635697331231357;0.8646168822975426;9.282205975018753;0.7475623531539226;0.8224673904173191;0.48;1.0;0.9887778935554565;0.20795766195574358;0.9874756235315393;0.20795766195574358;0.9487995332486685;0.4275400836319058;5.246532655984719;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000051558_rendered.png;
