;Unnamed;Nose_X;Nose_Y;Nose_Conf;Neck_X;Neck_Y;Neck_Conf;Rshoulder_X;Rshoulder_Y;Rshoulder_Conf;Relbow_X;Relbow_Y;Relbow_Conf;Rwrist_X;Rwrist_Y;Rwrist_Conf;Lshoulder_X;Lshoulder_Y;Lshoulder_Conf;Lelbow_X;Lelbow_Y;Lelbow_Conf;Lwrist_X;Lwrist_Y;Lwrist_Conf;MidHip_X;MidHip_Y;MidHip_Conf;Rhip_X;Rhip_Y;Rhip_Conf;Rknee_X;Rknee_Y;Rknee_Conf;Rankle_X;Rankle_Y;Rankle_Conf;Lhip_X;Lhip_Y;Lhip_Conf;Lknee_X;Lknee_Y;Lknee_Conf;Lankle_X;Lankle_Y;Lankle_Conf;Reye_X;Reye_Y;Reye_Conf;Leye_X;Leye_Y;Leye_Conf;Rear_X;Rear_Y;Rear_Conf;Lear_X;Lear_Y;Lear_Conf;Lbigtoe_X;Lbigtoe_Y;Lbigtoe_Conf;Lsmalltoe_X;Lsmalltoe_Y;Lsmalltoe_Conf;Lheel_X;Lheel_Y;Lheel_Conf;Rbigtoe_X;Rbigtoe_Y;Rbigtoe_Conf;Rsmalltoe_X;Rsmalltoe_Y;Rsmalltoe_Conf;Rheel_X;Rheel_Y;Rheel_Conf;Filename;Imagename;braycurtis;canberra;chebyshev;cityblock;correlation;cosine;euclidean;jensenshannon;mahalanobis;minkowski;seuclidean;sqeuclidean;dice;hamming;jaccard;kulsinski;rogerstanimoto;russellrao;sokalmichener;sokalsneath;yule;mahalanobis_minpeak;MahalanobisSummary;UnifSamplBaseline;SBDBaseline
0;0;0.0;0.0;0.0;971.7719999999999;695.007;0.6971510000000001;880.541;698.1410000000001;0.565209;789.446;892.3330000000001;0.807851;942.323;904.173;0.33752;1065.98;671.597;0.614953;1186.67;883.565;0.8869959999999999;1048.28;883.429;0.40321799999999997;951.201;647.956;0.244133;886.3989999999999;668.5830000000001;0.260705;698.049;756.953;0.357083;456.61400000000003;812.957;0.333287;1004.18;624.43;0.14921199999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;930.591;750.98;0.177323;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;386.042;856.953;0.07624310000000001;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis_GLy2rYHwUqY/json_output/youtube_timecode_000000059046_keypoints.json;/content/drive/My Drive/Thesis_GLy2rYHwUqY/jpg_output/youtube_timecode_000000059046_rendered.png;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.300701400046798;;/content/drive/My Drive/Thesis_GLy2rYHwUqY/jpg_output/youtube_timecode_000000059046_rendered.png;
75;75;0.0;0.0;0.0;971.813;695.02;0.623512;880.5930000000001;709.8539999999999;0.455376;789.456;895.194;0.829779;939.431;904.1519999999999;0.427971;1063.05;671.475;0.653016;1186.67;883.5360000000001;0.894442;1062.99;880.5310000000001;0.38677399999999995;942.3610000000001;659.812;0.23672800000000002;883.564;683.316;0.329986;700.988;754.015;0.190398;0.0;0.0;0.0;998.205;627.474;0.126966;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;933.586;733.3539999999999;0.131192;1010.03;715.789;0.14169400000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis_GLy2rYHwUqY/json_output/youtube_timecode_000000059496_keypoints.json;/content/drive/My Drive/Thesis_GLy2rYHwUqY/jpg_output/youtube_timecode_000000059496_rendered.png;0.046907783042117186;2.331246075210336;0.1708845982216635;0.46225220627220953;0.052255569494896736;0.02760983990660848;0.23498868018101765;0.15263657898281596;5.055682236087635;0.23498868018101765;4.105734312179733;0.0552196798132166;0.8026503019648534;0.52;1.0;0.9832085121567339;0.27317382133387325;0.9805521967981322;0.27317382133387325;0.9420913905497288;0.5621319684891659;3.805411558894806;/content/drive/My Drive/Thesis_GLy2rYHwUqY/jpg_output/youtube_timecode_000000059496_rendered.png;;
100;100;0.0;0.0;0.0;971.801;695.1339999999999;0.671701;880.57;700.9680000000001;0.560818;789.442;898.1489999999999;0.837733;948.187;904.179;0.408933;1068.84;674.535;0.593839;1186.65;883.6239999999999;0.890446;977.687;871.689;0.43718900000000005;954.1089999999999;645.068;0.232242;883.441;674.497;0.251612;698.068;759.762;0.367203;453.705;815.768;0.248439;1012.96;624.406;0.131936;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;927.625;759.77;0.20759499999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;380.13699999999994;742.159;0.222652;380.14599999999996;745.2080000000001;0.19007000000000002;0.0;0.0;0.0;/content/drive/My Drive/Thesis_GLy2rYHwUqY/json_output/youtube_timecode_000000059646_keypoints.json;/content/drive/My Drive/Thesis_GLy2rYHwUqY/jpg_output/youtube_timecode_000000059646_rendered.png;0.12246236132095802;8.26706664006033;0.2089683033785686;1.2697679905795152;0.20117817872242105;0.0946790263160262;0.43515290718556837;0.27996959621734635;8.967597708522641;0.43515290718556837;5.834420608186109;0.1893580526320519;0.8253732256392305;0.64;1.0;0.9845397550733834;0.2922913114776236;0.9818935805263206;0.2922913114776236;0.9497638773715602;0.6651639517284783;6.349174001534423;;/content/drive/My Drive/Thesis_GLy2rYHwUqY/jpg_output/youtube_timecode_000000059646_rendered.png;
105;105;1327.85;577.503;0.680056;1139.55;335.985;0.28678400000000004;1104.23;383.11300000000006;0.287439;1260.3;762.748;0.769778;1445.55;698.0319999999999;0.586665;1189.59;280.108;0.174091;0.0;0.0;0.0;0.0;0.0;0.0;606.8009999999999;497.901;0.150982;539.138;459.711;0.280007;586.217;621.4540000000001;0.374248;456.708;883.432;0.332728;665.668;544.972;0.10757699999999999;0.0;0.0;0.0;0.0;0.0;0.0;1351.46;565.577;0.658749;0.0;0.0;0.0;1310.31;450.75300000000004;0.804608;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;486.125;883.466;0.12456300000000001;/content/drive/My Drive/Thesis_GLy2rYHwUqY/json_output/youtube_timecode_000000059676_keypoints.json;/content/drive/My Drive/Thesis_GLy2rYHwUqY/jpg_output/youtube_timecode_000000059676_rendered.png;0.37039229974323906;17.62090815256507;0.30390843067878787;3.7578451121477663;0.637129686537194;0.31205075601917864;0.7900009569857224;0.4321705759190573;16.36514934679306;0.7900009569857224;12.215233482572591;0.6241015120383572;0.8643844570597301;0.72;1.0;0.9882941473643889;0.29844240137903544;0.9862410151203835;0.29844240137903544;0.9622572350993847;0.8144499654267624;7.18953862842752;;;/content/drive/My Drive/Thesis_GLy2rYHwUqY/jpg_output/youtube_timecode_000000059676_rendered.png
161;161;1001.18;689.257;0.811625;998.182;645.1990000000001;0.843563;904.082;621.4680000000001;0.7598779999999999;812.9069999999999;836.2760000000001;0.9097620000000001;921.7589999999999;948.225;0.747008;1095.45;674.5269999999999;0.712037;1180.72;860.0939999999999;0.847017;1071.84;951.1610000000001;0.842936;927.5169999999999;724.5110000000001;0.24221399999999998;877.5369999999999;712.7610000000001;0.33311599999999997;695.1669999999999;759.88;0.5856279999999999;447.83099999999996;815.846;0.596723;977.585;742.133;0.160686;0.0;0.0;0.0;0.0;0.0;0.0;977.688;662.703;0.783387;1027.77;671.67;0.676814;957.039;600.816;0.348344;1089.49;624.5319999999999;0.101963;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;377.18199999999996;856.977;0.282047;0.0;0.0;0.0;427.29699999999997;833.4060000000001;0.372496;/content/drive/My Drive/Thesis_GLy2rYHwUqY/json_output/youtube_timecode_000000060012_keypoints.json;/content/drive/My Drive/Thesis_GLy2rYHwUqY/jpg_output/youtube_timecode_000000060012_rendered.png;0.24925116699791597;12.720621277667787;0.21103746223475725;2.7225478313076845;0.26746895903771917;0.13141737365409445;0.5126741141389812;0.26683537063390705;15.69280502460986;0.5126741141389812;8.252985165002393;0.2628347473081891;0.8409613004691673;0.76;1.0;0.985324462101726;0.3104039324371988;0.9826283474730819;0.3104039324371988;0.954855537683972;0.749586811271539;9.626735917055017;;;/content/drive/My Drive/Thesis_GLy2rYHwUqY/jpg_output/youtube_timecode_000000060012_rendered.png
200;200;998.171;639.185;0.877434;995.324;621.461;0.793979;883.465;621.638;0.798586;886.528;821.722;0.827284;951.2689999999999;892.283;0.825723;1101.29;624.444;0.7823359999999999;1089.39;827.581;0.8241379999999999;1021.9;909.944;0.647042;986.467;762.709;0.477242;927.712;759.798;0.496762;0.0;0.0;0.0;0.0;0.0;0.0;1045.25;762.803;0.463104;0.0;0.0;0.0;0.0;0.0;0.0;974.607;609.701;0.8890170000000001;1021.88;612.75;0.894727;933.5889999999999;571.385;0.784524;1057.12;577.38;0.685983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis_GLy2rYHwUqY/json_output/youtube_timecode_000000060246_keypoints.json;/content/drive/My Drive/Thesis_GLy2rYHwUqY/jpg_output/youtube_timecode_000000060246_rendered.png;0.0009672914814237862;0.029663943002177194;0.0010263774097622191;0.01039157680315242;5.816438667927137e-06;2.4643496663312447e-06;0.0022200674162698012;0.00079869176995876;0.2289017673450928;0.0022200674162698012;0.038405117592126656;4.9286993327828715e-06;0.8138320841961334;0.6;1.0;0.9829767278152595;0.2976685863860917;0.9800000492869932;0.2976685863860917;0.9459049488536136;0.6437898067949814;4.21594433691427;;/content/drive/My Drive/Thesis_GLy2rYHwUqY/jpg_output/youtube_timecode_000000060246_rendered.png;
227;227;983.545;639.238;0.817901;992.4;615.637;0.760131;880.4689999999999;621.432;0.748598;889.328;827.4960000000001;0.80005;930.679;898.1519999999999;0.816976;1095.42;624.39;0.833987;1080.71;833.451;0.837936;1065.88;721.602;0.8345090000000001;986.5160000000001;806.96;0.273328;924.7230000000001;798.127;0.27219099999999996;0.0;0.0;0.0;0.0;0.0;0.0;1048.37;827.529;0.279509;1074.81;886.426;0.0836242;0.0;0.0;0.0;957.159;609.754;0.8397399999999999;1012.98;615.682;0.8312360000000001;930.694;559.731;0.566933;1062.99;574.42;0.79184;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis_GLy2rYHwUqY/json_output/youtube_timecode_000000060408_keypoints.json;/content/drive/My Drive/Thesis_GLy2rYHwUqY/jpg_output/youtube_timecode_000000060408_rendered.png;0.0019639620500432474;0.06427087449017849;0.0026356897570365134;0.021795673496295978;3.7925170187413926e-05;1.4672343989774461e-05;0.005417073746950557;0.0019693805395929772;0.283907713856656;0.005417073746950557;0.12309062109288468;2.9344687979900946e-05;0.8197868733489494;0.64;1.0;0.9830791552656121;0.3078906993514746;0.9800002934468798;0.3078906993514746;0.9479056547019923;0.6829908449106776;3.862146659279078;/content/drive/My Drive/Thesis_GLy2rYHwUqY/jpg_output/youtube_timecode_000000060408_rendered.png;;
259;259;1257.19;486.214;0.868936;1004.19;433.059;0.5418689999999999;907.0260000000001;403.725;0.428992;983.5210000000001;857.0880000000001;0.737364;1333.83;883.438;0.605012;1133.64;450.82;0.43801999999999996;1166.1;777.54;0.767044;1354.39;851.045;0.49537;486.181;703.941;0.34426999999999996;433.13300000000004;656.872;0.356047;474.31;806.952;0.286682;338.935;1074.86;0.099623;539.114;756.8810000000001;0.280896;0.0;0.0;0.0;0.0;0.0;0.0;1254.37;438.99199999999996;0.8676950000000001;1283.75;459.645;0.491939;1145.42;341.965;0.878417;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis_GLy2rYHwUqY/json_output/youtube_timecode_000000060600_keypoints.json;/content/drive/My Drive/Thesis_GLy2rYHwUqY/jpg_output/youtube_timecode_000000060600_rendered.png;0.1654085935200699;7.760518872564377;0.22085140437562661;1.7866733635150611;0.22056576058797617;0.09407639424519132;0.43376582217872184;0.22593355629646522;13.085213931325136;0.43376582217872184;6.927610965001347;0.18815278849038253;0.8322608345492692;0.68;1.0;0.9846426888803954;0.3047896067561893;0.9818815278849038;0.3047896067561893;0.9520304264632568;0.7141073444521056;4.756105132932592;;;/content/drive/My Drive/Thesis_GLy2rYHwUqY/jpg_output/youtube_timecode_000000060600_rendered.png
293;293;992.3760000000001;456.81300000000005;0.89046;983.538;500.85900000000004;0.830105;886.373;500.88699999999994;0.778389;904.095;686.314;0.8620049999999999;942.293;833.4010000000001;0.846417;1086.54;500.82;0.753821;1074.8;689.133;0.847359;1045.26;836.285;0.88136;1004.13;739.319;0.6682100000000001;945.242;742.1669999999999;0.5431050000000001;692.1560000000001;789.2280000000001;0.451579;441.986;851.1360000000001;0.469944;1065.95;736.262;0.628304;1269.07;780.4;0.679669;1554.55;830.533;0.618131;974.555;433.282;0.917212;1015.97;436.095;0.887086;942.367;400.735;0.726107;1048.28;409.64599999999996;0.821902;1610.55;742.324;0.571386;1610.39;745.186;0.431224;1589.85;854.04;0.512231;377.217;883.545;0.243144;0.0;0.0;0.0;427.283;860.018;0.306816;/content/drive/My Drive/Thesis_GLy2rYHwUqY/json_output/youtube_timecode_000000060804_keypoints.json;/content/drive/My Drive/Thesis_GLy2rYHwUqY/jpg_output/youtube_timecode_000000060804_rendered.png;0.36561257957599597;22.685993221854332;0.25701051992696;4.231453257984629;0.8547558287699439;0.3005264682298616;0.7752760388788776;0.421665467169463;15.55464771713949;0.7752760388788776;10.277336011044163;0.6010529364597231;0.8791260086292833;0.96;1.0;0.9883759438017409;0.3381706854807714;0.9860105293645972;0.3381706854807714;0.9667689224187215;0.9622068781014576;4.493770935126127;;;/content/drive/My Drive/Thesis_GLy2rYHwUqY/jpg_output/youtube_timecode_000000060804_rendered.png
300;300;1001.17;344.816;0.9406629999999999;986.503;459.56199999999995;0.852404;895.289;456.74800000000005;0.803868;877.4860000000001;630.418;0.8104180000000001;910.056;771.703;0.802611;1083.57;459.73400000000004;0.798817;1118.84;642.062;0.885317;1086.52;786.385;0.854447;983.53;739.328;0.67182;921.7;739.308;0.636065;698.081;789.45;0.696267;456.642;859.925;0.670056;1051.2;736.297;0.626242;1274.94;786.252;0.646119;1545.71;839.32;0.599271;977.779;321.33;0.928839;1021.95;324.257;0.9109879999999999;951.197;338.941;0.9925069999999999;1045.45;341.846;0.947522;1607.43;762.809;0.46959300000000004;1595.78;765.7339999999999;0.350699;1589.82;862.8910000000001;0.474404;383.07800000000003;889.39;0.24333600000000002;374.30300000000005;880.579;0.21769299999999997;436.154;877.513;0.396353;/content/drive/My Drive/Thesis_GLy2rYHwUqY/json_output/youtube_timecode_000000060846_keypoints.json;/content/drive/My Drive/Thesis_GLy2rYHwUqY/jpg_output/youtube_timecode_000000060846_rendered.png;0.0018998912333955812;0.11274828344447416;0.0022851875589713078;0.024953080321328924;0.0001018314494698469;1.4498238016247278e-05;0.00538483760504906;0.002171045725638056;0.29243573936097855;0.00538483760504906;0.09033461595788596;2.89964760327505e-05;0.8477251173919121;1.0;1.0;0.9836427223456699;0.36424851905267874;0.9800002899647603;0.36424851905267874;0.9570230464279502;0.9001682301274853;4.512870516953974;;/content/drive/My Drive/Thesis_GLy2rYHwUqY/jpg_output/youtube_timecode_000000060846_rendered.png;
