;Unnamed;Nose_X;Nose_Y;Nose_Conf;Neck_X;Neck_Y;Neck_Conf;Rshoulder_X;Rshoulder_Y;Rshoulder_Conf;Relbow_X;Relbow_Y;Relbow_Conf;Rwrist_X;Rwrist_Y;Rwrist_Conf;Lshoulder_X;Lshoulder_Y;Lshoulder_Conf;Lelbow_X;Lelbow_Y;Lelbow_Conf;Lwrist_X;Lwrist_Y;Lwrist_Conf;MidHip_X;MidHip_Y;MidHip_Conf;Rhip_X;Rhip_Y;Rhip_Conf;Rknee_X;Rknee_Y;Rknee_Conf;Rankle_X;Rankle_Y;Rankle_Conf;Lhip_X;Lhip_Y;Lhip_Conf;Lknee_X;Lknee_Y;Lknee_Conf;Lankle_X;Lankle_Y;Lankle_Conf;Reye_X;Reye_Y;Reye_Conf;Leye_X;Leye_Y;Leye_Conf;Rear_X;Rear_Y;Rear_Conf;Lear_X;Lear_Y;Lear_Conf;Lbigtoe_X;Lbigtoe_Y;Lbigtoe_Conf;Lsmalltoe_X;Lsmalltoe_Y;Lsmalltoe_Conf;Lheel_X;Lheel_Y;Lheel_Conf;Rbigtoe_X;Rbigtoe_Y;Rbigtoe_Conf;Rsmalltoe_X;Rsmalltoe_Y;Rsmalltoe_Conf;Rheel_X;Rheel_Y;Rheel_Conf;Filename;Imagename;braycurtis;canberra;chebyshev;cityblock;correlation;cosine;euclidean;jensenshannon;mahalanobis;minkowski;seuclidean;sqeuclidean;dice;hamming;jaccard;kulsinski;rogerstanimoto;russellrao;sokalmichener;sokalsneath;yule;mahalanobis_minpeak;MahalanobisSummary;UnifSamplBaseline;SBDBaseline
0;0;474.598;225.80599999999998;0.847917;490.30400000000003;445.22900000000004;0.6412;310.043;451.089;0.436094;0.0;0.0;0.0;0.0;0.0;0.0;678.3739999999999;447.184;0.48571099999999995;792.0319999999999;715.6030000000001;0.196507;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;433.441;182.75099999999998;0.868337;513.825;178.75599999999997;0.8814629999999999;398.159;223.808;0.84191;586.255;212.018;0.890493;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000000_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0271148505916616;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png;
48;48;449.14599999999996;239.442;0.800676;478.592;456.975;0.610139;292.39599999999996;462.86400000000003;0.420001;212.11;715.6439999999999;0.052931500000000006;0.0;0.0;0.0;674.428;458.903;0.470297;741.018;715.6389999999999;0.07104919999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;404.125;208.081;0.8285469999999999;486.381;186.601;0.826108;368.798;241.419;0.867185;556.946;210.137;0.877189;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000288_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000288_rendered.png;0.011740026944442804;0.3080733177618424;0.010712787781645361;0.09705872535718077;0.0005573160429429569;0.0003720740440897874;0.027279077846945558;0.012125109644850163;1.3941328155398856;0.027279077846945558;0.4548349597129352;0.0007441480881797158;0.7581740592213204;0.4;1.0;0.9822345465372336;0.22279340127699837;0.9800074414808817;0.22279340127699837;0.9261492432611351;0.37390156201080965;3.8266117912766835;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000288_rendered.png;;
100;100;460.88300000000004;225.75799999999998;0.853873;476.611;449.164;0.656119;288.502;460.917;0.449978;241.451;715.648;0.0565659;306.205;647.007;0.568808;674.431;460.923;0.471504;709.721;672.502;0.11177899999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;415.769;190.55599999999998;0.882808;496.207;178.675;0.875166;374.728;229.707;0.804955;562.745;208.162;0.819865;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000600_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000600_rendered.png;0.16317400284960984;5.139637475593327;0.32889591205462804;1.350651966578147;0.18218801195624534;0.12196859989692166;0.49389998966779;0.2753638790333466;9.728895956913394;0.49389998966779;6.998271920492458;0.24393719979384304;0.7878477924325042;0.44;1.0;0.9844654802176387;0.2307557815657169;0.9824393719979385;0.2307557815657169;0.9369259784192371;0.44132515104857106;4.292700891440969;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000600_rendered.png;
154;154;474.566;216.053;0.796284;474.551;455.034;0.59664;282.606;472.653;0.406783;0.0;0.0;0.0;0.0;0.0;0.0;660.7289999999999;458.895;0.435213;709.6560000000001;715.6239999999999;0.11733800000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;431.598;180.729;0.892992;513.7959999999999;180.675;0.8595700000000001;378.61699999999996;212.00799999999998;0.8490549999999999;570.56;221.847;0.823743;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000924_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000924_rendered.png;0.007489720026534123;0.11831206096062617;0.019354178443172554;0.058923243975113976;0.0003720917106936339;0.0002575165601638174;0.02269434115209706;0.007118549786014873;1.7552847348054053;0.02269434115209706;0.3332741153334714;0.0005150331203277661;0.745845924479014;0.36;1.0;0.9821051890251055;0.21005796279423194;0.9800051503312033;0.21005796279423194;0.9214977265728794;0.33279438968522684;4.195217453742474;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000924_rendered.png;;
189;189;460.954;215.981;0.834089;496.2;456.949;0.6163109999999999;306.16700000000003;474.594;0.46824;0.0;0.0;0.0;0.0;0.0;0.0;684.24;451.079;0.47631999999999997;698.0110000000001;692.07;0.119094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;419.76099999999997;184.687;0.840706;505.906;174.812;0.839399;388.43;241.40599999999998;0.821399;582.361;210.11;0.838311;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001134_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001134_rendered.png;0.008921008636521514;0.1720388120809235;0.009908555068332603;0.07039979185278662;0.00026471520438253737;0.00018317035346948618;0.01914002891687951;0.00724884727781522;0.8368284665083006;0.01914002891687951;0.3221294531799325;0.00036634070693898385;0.7466079277374114;0.36;1.0;0.9821115737848902;0.21082965552460306;0.9800036634070693;0.21082965552460306;0.9217883165203034;0.3352099132645925;6.770054444124452;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001134_rendered.png
190;190;476.606;217.93400000000003;0.8224;502.024;447.256;0.599833;310.073;462.851;0.4393;268.902;715.638;0.0650591;0.0;0.0;0.0;684.258;443.251;0.47811000000000003;739.071;678.352;0.21234299999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;431.486;184.709;0.8716799999999999;513.817;174.817;0.825536;392.34;239.44299999999998;0.782213;584.256;210.067;0.834628;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001140_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001140_rendered.png;0.09229465334542473;2.6670189462354257;0.34100361866361073;0.7454199486160018;0.1016519564438938;0.06901285123622636;0.37151810517450307;0.2027154385588485;9.232705349299195;0.37151810517450307;5.250989589411628;0.13802570247245313;0.7694584473524424;0.4;1.0;0.9834386798466223;0.22110109947608575;0.9813802570247244;0.22110109947608575;0.9303157807650101;0.3893948412322016;6.913499578333423;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001140_rendered.png
191;191;478.522;225.764;0.859382;496.17699999999996;437.413;0.64462;312.014;439.371;0.460168;198.364;715.625;0.44567799999999996;0.0;0.0;0.0;688.135;427.601;0.484695;823.313;697.97;0.373347;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;433.44199999999995;192.44299999999998;0.8596219999999999;519.645;178.727;0.8752110000000001;396.202;231.726;0.805251;586.221;208.18400000000003;0.850901;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001146_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001146_rendered.png;0.01663112899041005;0.38437114202972256;0.035716920300824906;0.1368295729775923;0.0021806309078266084;0.0014693104923758638;0.054209048919452045;0.022189373211266582;2.2721080861804226;0.054209048919452045;0.7530912894456948;0.002938620984751545;0.7572645688106626;0.4;1.0;0.982242110131079;0.22159798837255804;0.9800293862098475;0.22159798837255804;0.925809677207904;0.37028119547074395;7.100125807939178;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001146_rendered.png
193;193;478.57800000000003;214.051;0.564533;507.874;411.884;0.39976100000000003;347.25699999999995;415.86300000000006;0.230341;343.369;633.3009999999999;0.061128199999999994;0.0;0.0;0.0;668.568;398.227;0.36579;793.957;586.273;0.09235360000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;437.37;182.763;0.676259;507.853;180.68;0.626907;388.441;219.889;0.5793550000000001;549.0459999999999;194.479;0.419067;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001158_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001158_rendered.png;0.1695269468415095;5.6136708641215085;0.24994466054882913;1.4726393354717944;0.18929203282524132;0.11988700755555559;0.48966724937564643;0.2808644021626556;9.483140906914675;0.48966724937564643;6.7338795267088605;0.23977401511111152;0.7973667212456328;0.48;1.0;0.9845394935907646;0.24334982644727043;0.9823977401511111;0.24334982644727043;0.940263179454248;0.48716295041018004;7.484705336291675;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001158_rendered.png
194;194;384.416;210.173;0.9464969999999999;366.82099999999997;286.569;0.8579979999999999;300.263;284.598;0.727571;274.83799999999997;382.541;0.896049;370.83;335.49699999999996;0.8210870000000001;429.55800000000005;288.454;0.83606;490.228;396.205;0.845433;411.843;335.49300000000005;0.8311149999999999;384.54400000000004;490.23699999999997;0.5831029999999999;345.287;492.204;0.5513170000000001;276.789;464.814;0.802057;435.411;552.924;0.5949409999999999;429.606;482.47;0.5403140000000001;554.985;466.751;0.791754;384.445;545.158;0.547762;366.921;196.334;0.945368;396.19199999999995;196.38;0.929846;335.476;202.329;0.8741270000000001;0.0;0.0;0.0;349.218;549.023;0.350174;351.186;554.9209999999999;0.42608;366.88199999999995;554.938;0.15396400000000002;507.87;541.299;0.659572;496.153;552.9540000000001;0.599858;447.17800000000005;556.9019999999999;0.22408000000000003;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001164_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001164_rendered.png;0.6311244645788527;37.12607685854989;0.26956939484968884;6.851513316265766;1.3651105689081942;0.5373694078446367;1.0366961057558157;0.5969288744894268;10.713779535717384;1.0366961057558157;15.263483360021088;1.0747388156892737;0.9147699285415719;1.0;1.0;0.9922805845262256;0.3314083407648761;0.9907473881568927;0.3314083407648761;0.9772374412540206;1.1138358406090478;7.728811904110938;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001164_rendered.png
200;200;0.0;0.0;0.0;368.76800000000003;317.873;0.8553440000000001;451.085;317.873;0.747428;492.24800000000005;429.469;0.863959;429.56800000000004;382.55;0.125001;284.594;315.889;0.750078;272.83799999999997;429.611;0.8623569999999999;323.748;392.32300000000004;0.0723141;360.98400000000004;588.278;0.569448;423.68699999999995;588.263;0.487267;539.341;462.895;0.7666850000000001;0.0;0.0;0.0;306.099;588.2080000000001;0.5648479999999999;261.043;472.673;0.568946;280.684;582.373;0.06927480000000001;0.0;0.0;0.0;0.0;0.0;0.0;411.88199999999995;208.19099999999997;0.8210040000000001;323.762;208.09599999999998;0.742823;0.0;0.0;0.0;0.0;0.0;0.0;276.77;584.3340000000001;0.115553;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001200_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001200_rendered.png;0.30771635203783704;17.57513564104297;0.2506889268696423;3.123342085578475;0.47036170446053593;0.23510688675743285;0.6857213526753165;0.42118329032477353;17.745334801720592;0.6857213526753165;9.618963723685734;0.4702137735148658;0.8492831639591127;0.72;1.0;0.986951732708495;0.2941057952280075;0.9847021377351487;0.2941057952280075;0.9575188191083225;0.745097557358479;8.115376526990893;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001200_rendered.png;
