;Unnamed;Nose_X;Nose_Y;Nose_Conf;Neck_X;Neck_Y;Neck_Conf;Rshoulder_X;Rshoulder_Y;Rshoulder_Conf;Relbow_X;Relbow_Y;Relbow_Conf;Rwrist_X;Rwrist_Y;Rwrist_Conf;Lshoulder_X;Lshoulder_Y;Lshoulder_Conf;Lelbow_X;Lelbow_Y;Lelbow_Conf;Lwrist_X;Lwrist_Y;Lwrist_Conf;MidHip_X;MidHip_Y;MidHip_Conf;Rhip_X;Rhip_Y;Rhip_Conf;Rknee_X;Rknee_Y;Rknee_Conf;Rankle_X;Rankle_Y;Rankle_Conf;Lhip_X;Lhip_Y;Lhip_Conf;Lknee_X;Lknee_Y;Lknee_Conf;Lankle_X;Lankle_Y;Lankle_Conf;Reye_X;Reye_Y;Reye_Conf;Leye_X;Leye_Y;Leye_Conf;Rear_X;Rear_Y;Rear_Conf;Lear_X;Lear_Y;Lear_Conf;Lbigtoe_X;Lbigtoe_Y;Lbigtoe_Conf;Lsmalltoe_X;Lsmalltoe_Y;Lsmalltoe_Conf;Lheel_X;Lheel_Y;Lheel_Conf;Rbigtoe_X;Rbigtoe_Y;Rbigtoe_Conf;Rsmalltoe_X;Rsmalltoe_Y;Rsmalltoe_Conf;Rheel_X;Rheel_Y;Rheel_Conf;Filename;Imagename;braycurtis;canberra;chebyshev;cityblock;correlation;cosine;euclidean;jensenshannon;mahalanobis;minkowski;seuclidean;sqeuclidean;dice;hamming;jaccard;kulsinski;rogerstanimoto;russellrao;sokalmichener;sokalsneath;yule;mahalanobis_minpeak;MahalanobisSummary;UnifSamplBaseline;SBDBaseline
0;0;1516.24;715.757;0.836095;1380.97;815.7339999999999;0.48803199999999997;1372.03;756.87;0.17901199999999998;0.0;0.0;0.0;0.0;0.0;0.0;1378.0;862.8489999999999;0.5022840000000001;1145.38;912.927;0.6569619999999999;910.0060000000001;930.7310000000001;0.7363649999999999;971.796;806.961;0.311302;992.372;765.784;0.20917800000000003;783.393;480.36699999999996;0.77725;739.242;821.721;0.43310699999999996;960.0;833.456;0.330377;715.796;512.69;0.82695;703.985;880.544;0.633727;1545.69;733.306;0.142845;1542.89;745.095;0.8589180000000001;0.0;0.0;0.0;1536.8;833.574;0.838256;580.383;889.387;0.625963;603.928;906.928;0.645965;724.549;903.975;0.6645439999999999;627.489;833.323;0.468563;642.08;830.4;0.408023;765.74;839.367;0.347456;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000055968_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000055968_rendered.png;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.443213394944851;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000055968_rendered.png;
22;22;1630.98;341.78;0.8495969999999999;1507.41;509.765;0.333149;1451.5;436.051;0.14618299999999998;0.0;0.0;0.0;0.0;0.0;0.0;1569.3;603.879;0.48477200000000004;1245.49;765.801;0.671452;948.27;883.6110000000001;0.683353;1033.59;371.37699999999995;0.14870899999999998;1042.42;344.849;0.12424;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1660.4;339.045;0.288702;1687.0;383.045;0.8468969999999999;0.0;0.0;0.0;1687.08;521.38;0.78033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000056100_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000056100_rendered.png;0.32136418242485537;21.222246783203634;0.16127837644812984;3.262782292666961;0.220461758530901;0.16962950245810982;0.5824594448682411;0.39382477168141283;9.837415095970519;0.5824594448682411;8.515707058471627;0.3392590049162195;0.8364271274537605;0.8;1.0;0.9858037326702976;0.2903694950956353;0.9833925900491621;0.2903694950956353;0.953388499033333;0.6735532930418215;4.672919197169187;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000056100_rendered.png
100;100;1633.88;359.468;0.8399280000000001;1513.34;515.591;0.27222199999999996;1442.66;380.209;0.09594019999999999;0.0;0.0;0.0;0.0;0.0;0.0;1566.27;639.156;0.36782800000000004;1277.92;765.658;0.679035;989.378;886.466;0.644335;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1660.41;341.82300000000004;0.381146;1687.08;386.185;0.8630200000000001;0.0;0.0;0.0;1710.65;527.185;0.810233;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000056568_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000056568_rendered.png;0.001059345852179805;0.0325286025007378;0.0017663067366023855;0.007991293083862719;5.332999506113545e-06;3.818460052706918e-06;0.0027634978026381775;0.0015721604106796925;0.32672643103522525;0.0027634978026381775;0.05639957571464312;7.636920105186035e-06;0.7348759966646257;0.36;1.0;0.9819962003727625;0.19961316257102724;0.9800000763692011;0.19961316257102724;0.9172683992765474;0.3004714617709276;4.4853735648495645;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000056568_rendered.png;
105;105;1519.31;736.315;0.796589;1419.16;830.4739999999999;0.388225;1422.14;780.4689999999999;0.113231;0.0;0.0;0.0;0.0;0.0;0.0;1413.3;877.553;0.5052439999999999;1186.56;918.8389999999999;0.517987;954.191;930.71;0.720065;1068.86;653.925;0.163902;1060.06;665.664;0.11470599999999999;736.314;483.164;0.41138500000000006;745.19;824.6560000000001;0.642342;1071.82;653.891;0.16519;689.247;521.413;0.7230270000000001;695.2539999999999;880.561;0.718101;1554.47;736.342;0.221133;1563.22;756.939;0.8640180000000001;0.0;0.0;0.0;1566.24;842.2230000000001;0.8397950000000001;565.634;907.14;0.598128;586.21;921.7339999999999;0.558161;721.547;901.18;0.749246;624.443;839.307;0.31825;633.2869999999999;836.441;0.279512;765.737;842.283;0.676921;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000056598_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000056598_rendered.png;0.38622856745088874;27.058007982740495;0.16944958216451095;3.9642136749119237;0.23858081459740355;0.2158469023838101;0.6570340971118777;0.4458500569353535;12.19402993168204;0.6570340971118777;9.527478814781063;0.43169380476762026;0.8472018148410191;0.88;1.0;0.9866403426923508;0.29629477352543676;0.9843169380476762;0.29629477352543676;0.9568562372199656;0.7108100356044745;4.397011247868421;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000056598_rendered.png
144;144;1536.8;718.561;0.805129;1401.54;821.6389999999999;0.50467;1416.18;815.737;0.236285;0.0;0.0;0.0;0.0;0.0;0.0;1398.56;851.071;0.578317;1154.24;912.865;0.663389;927.559;930.4839999999999;0.681103;977.675;795.206;0.302504;983.543;762.834;0.190931;786.4;480.209;0.816066;730.449;812.852;0.327646;974.677;821.666;0.318794;739.336;512.587;0.82165;712.773;871.738;0.647093;1563.38;733.352;0.145285;1563.3;745.127;0.869143;0.0;0.0;0.0;1542.77;833.388;0.8798020000000001;577.4730000000001;880.419;0.681145;598.045;892.2819999999999;0.610926;727.4680000000001;901.064;0.649667;633.307;809.933;0.374293;644.9780000000001;809.903;0.359266;771.6360000000001;827.562;0.188634;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000056832_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000056832_rendered.png;0.0024298218678435227;0.11743614372892794;0.002489487876046581;0.030772053462597662;8.684952634308019e-05;1.721135772758675e-05;0.0058670874763668505;0.0023492348415126174;0.4510756958649296;0.0058670874763668505;0.0844684445244746;3.442271545534074e-05;0.842078784227809;0.88;1.0;0.9835161402736846;0.35158565591949503;0.9800003442271545;0.35158565591949503;0.9552153627898441;0.851680649659117;3.0853480364296866;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000056832_rendered.png;;
200;200;1536.92;724.596;0.769355;1419.13;812.954;0.40281500000000003;1413.24;762.799;0.155434;0.0;0.0;0.0;0.0;0.0;0.0;1430.94;877.5060000000001;0.543672;1180.78;906.992;0.5726060000000001;960.0360000000001;927.585;0.646025;1136.57;656.832;0.198554;1160.12;624.438;0.18121900000000002;886.4060000000001;503.736;0.0762768;0.0;0.0;0.0;1101.31;680.4019999999999;0.162393;712.709;524.309;0.662647;698.04;880.53;0.661037;1563.39;733.403;0.20674099999999998;1566.33;754.008;0.8662860000000001;0.0;0.0;0.0;1566.2;839.33;0.833986;556.7909999999999;907.1060000000001;0.599755;577.322;921.696;0.5449729999999999;721.596;903.972;0.709284;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000057168_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000057168_rendered.png;0.028413820265654127;2.2696055385091816;0.14774989634194027;0.318886845345716;0.037665696028157836;0.014573602374985173;0.17072552460007281;0.11974070466438991;3.966236858400152;0.17072552460007281;2.390800637270218;0.02914720474997007;0.8243908210337572;0.72;1.0;0.9833689191298522;0.31229598575494777;0.9802914720474998;0.31229598575494777;0.9494383936208461;0.7063475574723951;3.874682806245767;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000057168_rendered.png;
249;249;1516.24;733.3919999999999;0.7966479999999999;1398.55;815.789;0.509954;1401.42;742.164;0.24088600000000002;0.0;0.0;0.0;0.0;0.0;0.0;1401.5;880.518;0.610604;1166.02;862.882;0.424008;0.0;0.0;0.0;1098.33;612.714;0.160171;1136.57;583.302;0.122227;736.293;542.052;0.311657;751.071;830.452;0.703663;1092.43;648.007;0.124972;695.148;524.339;0.690283;698.007;880.4689999999999;0.681948;1542.66;736.2339999999999;0.312241;1542.92;756.936;0.859259;0.0;0.0;0.0;1545.74;842.314;0.767444;556.731;912.921;0.585477;574.453;924.706;0.544895;718.76;901.127;0.731974;621.495;839.318;0.28323400000000004;624.569;839.317;0.254497;765.873;848.12;0.67598;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000057462_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000057462_rendered.png;0.3758067998620715;26.16290404396238;0.18467612724088545;3.8341116514131954;0.2905862914924159;0.21446569146704575;0.6549285326919966;0.45394255336164135;8.076196215257099;0.6549285326919966;9.461177500776081;0.42893138293409167;0.8460091090133878;0.84;1.0;0.9866021290952451;0.29442574828126633;0.9842893138293409;0.29442574828126633;0.9564754941801318;0.7095104899809177;3.996630991279793;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000057462_rendered.png;;
280;280;1528.0;403.75800000000004;0.808709;1422.0;550.909;0.441463;1410.28;453.75699999999995;0.20867199999999997;0.0;0.0;0.0;0.0;0.0;0.0;1463.27;651.04;0.5680810000000001;1166.06;686.262;0.395305;845.237;751.069;0.253581;1163.07;459.64599999999996;0.09124260000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1177.81;512.618;0.0902639;1033.59;615.659;0.149554;827.561;751.015;0.300856;1554.59;388.912;0.543932;1581.0;433.121;0.8751680000000001;0.0;0.0;0.0;1592.77;553.716;0.8578459999999999;692.189;706.9069999999999;0.14927200000000002;0.0;0.0;0.0;789.2280000000001;759.84;0.181277;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000057648_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000057648_rendered.png;0.23457420231010395;17.225997735189246;0.180772458750293;2.656181478589393;0.24305215771633315;0.1268102160862722;0.5036074187028465;0.3291827886235287;10.177471638256115;0.5036074187028465;7.089162954460219;0.2536204321725442;0.8457727390406532;0.88;1.0;0.9853435178464036;0.3215009584852871;0.9825362043217254;0.3215009584852871;0.9563999472219299;0.7891115500091669;6.1660516161465475;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000057648_rendered.png
300;300;1530.95;406.63199999999995;0.828571;1419.12;533.297;0.400633;1398.52;439.06300000000005;0.174343;0.0;0.0;0.0;0.0;0.0;0.0;1460.36;647.985;0.523393;1171.91;686.2260000000001;0.452991;848.186;756.934;0.25050700000000004;1115.98;294.818;0.0897757;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1557.42;388.978;0.551041;1581.07;433.158;0.890114;0.0;0.0;0.0;1595.82;550.941;0.828793;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000057768_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000057768_rendered.png;0.1517601018769842;7.057071607264756;0.2278621763455776;1.3120275117105509;0.1240818019974318;0.08367434752180203;0.40908274840624126;0.27676734752577337;12.188313748771693;0.40908274840624126;6.254736980824245;0.16734869504360408;0.7880201853522353;0.52;1.0;0.9838711275854969;0.23983183588906423;0.981673486950436;0.23983183588906423;0.9369869206824731;0.4579044725562227;7.9749711731662805;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000057768_rendered.png;
358;358;1522.12;715.689;0.805713;1374.96;815.8639999999999;0.389955;1339.7;745.2310000000001;0.117717;0.0;0.0;0.0;0.0;0.0;0.0;1372.07;868.7689999999999;0.508251;1174.84;921.738;0.49322;977.581;959.997;0.7334930000000001;983.539;806.951;0.347577;1004.11;765.757;0.310309;762.7919999999999;480.161;0.797531;742.212;815.8439999999999;0.522205;971.797;836.4110000000001;0.291736;718.6110000000001;512.689;0.8174859999999999;695.2080000000001;883.422;0.685537;1560.32;730.439;0.146321;1548.72;742.1560000000001;0.840774;0.0;0.0;0.0;1536.88;827.561;0.796211;556.839;910.046;0.611889;577.452;924.65;0.571382;718.7239999999999;904.1360000000001;0.726696;621.498;839.278;0.299792;624.5740000000001;836.4839999999999;0.26771500000000004;765.6619999999999;836.377;0.485033;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000058116_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000058116_rendered.png;0.0889660196405089;4.8197538880217845;0.055038682340070366;1.0916171718273737;0.044853236621632875;0.017519264733583007;0.18718581534712073;0.07871755052371984;4.556188075478477;0.18718581534712073;3.1648021170334557;0.03503852946716637;0.8398570439418551;0.88;1.0;0.9837081609359722;0.3417650362772829;0.9803503852946718;0.3417650362772829;0.9544992983349422;0.8214111178654028;8.408427889087902;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000058116_rendered.png
