;Unnamed;Nose_X;Nose_Y;Nose_Conf;Neck_X;Neck_Y;Neck_Conf;Rshoulder_X;Rshoulder_Y;Rshoulder_Conf;Relbow_X;Relbow_Y;Relbow_Conf;Rwrist_X;Rwrist_Y;Rwrist_Conf;Lshoulder_X;Lshoulder_Y;Lshoulder_Conf;Lelbow_X;Lelbow_Y;Lelbow_Conf;Lwrist_X;Lwrist_Y;Lwrist_Conf;MidHip_X;MidHip_Y;MidHip_Conf;Rhip_X;Rhip_Y;Rhip_Conf;Rknee_X;Rknee_Y;Rknee_Conf;Rankle_X;Rankle_Y;Rankle_Conf;Lhip_X;Lhip_Y;Lhip_Conf;Lknee_X;Lknee_Y;Lknee_Conf;Lankle_X;Lankle_Y;Lankle_Conf;Reye_X;Reye_Y;Reye_Conf;Leye_X;Leye_Y;Leye_Conf;Rear_X;Rear_Y;Rear_Conf;Lear_X;Lear_Y;Lear_Conf;Lbigtoe_X;Lbigtoe_Y;Lbigtoe_Conf;Lsmalltoe_X;Lsmalltoe_Y;Lsmalltoe_Conf;Lheel_X;Lheel_Y;Lheel_Conf;Rbigtoe_X;Rbigtoe_Y;Rbigtoe_Conf;Rsmalltoe_X;Rsmalltoe_Y;Rsmalltoe_Conf;Rheel_X;Rheel_Y;Rheel_Conf;Filename;Imagename;braycurtis;canberra;chebyshev;cityblock;correlation;cosine;euclidean;jensenshannon;mahalanobis;minkowski;seuclidean;sqeuclidean;dice;hamming;jaccard;kulsinski;rogerstanimoto;russellrao;sokalmichener;sokalsneath;yule;mahalanobis_minpeak;MahalanobisSummary;UnifSamplBaseline;SBDBaseline
0;0;1071.73;188.895;0.8778530000000001;1072.0;338.96;0.8557469999999999;954.15;330.10699999999997;0.732666;742.2130000000001;427.219;0.8206620000000001;895.21;547.91;0.720704;1195.52;344.86;0.7174189999999999;1233.61;553.883;0.8536239999999999;1192.47;724.57;0.684654;1015.86;665.6560000000001;0.597971;948.2139999999999;642.105;0.498697;827.556;439.026;0.722121;809.834;795.2389999999999;0.6880850000000001;1080.71;689.182;0.529738;874.664;786.3960000000001;0.23993;804.0189999999999;739.22;0.154248;1045.32;165.278;0.8932059999999999;1095.5;162.39600000000002;0.884323;1007.1;183.04;0.8466889999999999;1136.6;183.00400000000002;0.8800950000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;695.1260000000001;877.4910000000001;0.545075;695.11;865.7639999999999;0.48878999999999995;824.6;821.712;0.456058;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000000_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.385476551031287;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png
87;87;1054.19;194.635;0.8483450000000001;1051.29;335.99800000000005;0.812767;933.523;324.306;0.7425619999999999;753.975;433.061;0.8355239999999999;936.457;483.19199999999995;0.817326;1177.74;341.915;0.742408;1186.49;577.327;0.813856;1154.2;539.143;0.766837;1004.21;647.992;0.617085;942.3530000000001;624.531;0.544929;812.7719999999999;465.546;0.530341;809.954;792.2719999999999;0.631855;1071.9;671.5360000000001;0.548426;998.2330000000001;739.309;0.14891300000000002;812.85;742.14;0.335887;1024.82;168.19400000000002;0.9097790000000001;1077.79;162.384;0.853324;992.378;188.893;0.860297;1115.89;183.03400000000002;0.9093040000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;703.972;880.4119999999999;0.49161099999999996;701.02;868.752;0.43586800000000003;830.454;827.579;0.309861;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000522_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000522_rendered.png;0.03691616304767397;2.643423840472578;0.15428414394442364;0.447586500911781;0.08049657353824358;0.022140369548158012;0.2104298911664315;0.1303399680113172;10.549786963457615;0.2104298911664315;5.885140440000385;0.04428073909631621;0.8386956466204352;0.88;1.0;0.9837480306699512;0.3380059035120255;0.9804428073909632;0.3380059035120255;0.9541239007628385;0.8096989374981521;5.691067213172139;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000522_rendered.png;;
100;100;1048.37;182.94299999999998;0.898084;1054.16;338.88800000000003;0.823725;933.58;327.24;0.715076;745.1510000000001;433.269;0.8586530000000001;930.523;480.10900000000004;0.793914;1180.71;344.88;0.735223;1186.75;583.313;0.860876;1189.68;509.714;0.82732;1007.09;653.934;0.603738;942.311;630.366;0.542665;815.78;480.246;0.496098;809.9639999999999;798.107;0.67591;1074.85;680.38;0.530682;880.545;777.4889999999999;0.316125;809.8760000000001;739.179;0.462375;1021.93;156.597;0.934;1074.78;156.523;0.8969469999999999;986.503;185.9;0.843736;1113.08;180.105;0.903848;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;703.987;877.562;0.44449099999999997;701.048;868.7389999999999;0.397839;830.439;827.545;0.37641399999999997;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000600_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000600_rendered.png;0.0023132179218386837;0.11546977384710581;0.002742703199847929;0.028389382167014785;7.517366215636923e-05;1.9068977957115152e-05;0.006175593567762984;0.0024350648156469326;1.2005060307442519;0.006175593567762984;0.1756912104841947;3.813795591419555e-05;0.8370395102275409;0.88;1.0;0.9834090618405743;0.3408745462307286;0.9800003813795591;0.3408745462307286;0.9535873003578785;0.8104035827163605;6.2662990852314655;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000600_rendered.png;
158;158;1068.97;191.765;0.874332;1068.77;333.06300000000005;0.8107800000000001;954.025;318.472;0.780967;762.8910000000001;439.075;0.820722;895.212;598.052;0.748913;1183.67;341.952;0.7493609999999999;1139.6;568.518;0.8339030000000001;971.681;600.901;0.812762;1001.16;662.671;0.616272;942.3810000000001;639.135;0.5166810000000001;836.4760000000001;441.97;0.772496;824.556;809.92;0.558647;1065.96;680.398;0.545018;880.5210000000001;783.443;0.349555;0.0;0.0;0.0;1042.33;165.338;0.8544780000000001;1092.41;159.43200000000002;0.8924780000000001;998.1339999999999;185.918;0.876718;1118.98;177.135;0.893969;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;756.8789999999999;845.238;0.331818;759.8380000000001;836.419;0.340941;833.403;830.5160000000001;0.34970100000000004;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000948_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000948_rendered.png;0.03580160115285485;2.490656719487041;0.1544639917886965;0.4353797062922288;0.08140781811400111;0.022169550419434025;0.21056851815707822;0.13010890235023886;10.186767775286246;0.21056851815707822;5.887725590571636;0.04433910083886777;0.8391845313639736;0.88;1.0;0.9837583828674124;0.33901499594797785;0.9804433910083887;0.33901499594797785;0.9542820132417792;0.8136111414577343;16.58904257427234;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000948_rendered.png
159;159;556.771;315.33799999999997;0.885408;547.942;453.645;0.8079850000000001;439.01599999999996;441.99;0.7467590000000001;386.04400000000004;597.967;0.880085;530.3240000000001;527.3;0.8438319999999999;645.114;453.651;0.7652329999999999;721.573;621.457;0.870577;589.112;527.381;0.775412;550.873;754.008;0.56729;483.221;753.936;0.514514;347.858;718.7669999999999;0.728342;598.026;859.93;0.519967;618.605;759.804;0.5282680000000001;789.2719999999999;751.0060000000001;0.21845599999999998;503.841;859.8789999999999;0.31866700000000003;530.4490000000001;291.981;0.9274879999999999;577.339;291.916;0.945084;492.009;312.461;0.843928;600.9169999999999;315.29;0.8218620000000001;462.66900000000004;839.3530000000001;0.215429;465.51300000000003;854.005;0.229452;0.0;0.0;0.0;721.6189999999999;854.072;0.38337;712.7410000000001;862.91;0.326518;618.547;877.572;0.14305299999999999;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000954_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000954_rendered.png;0.23531050747293958;14.083027037962673;0.20168172784402758;2.9781320831882003;0.6488995542260851;0.13864159661040976;0.5265768635449334;0.262346477837007;22.56038227464775;0.5265768635449334;16.13560621094693;0.27728319322081935;0.8638833487863964;0.96;1.0;0.9858639512417152;0.35886563564515306;0.9827728319322082;0.35886563564515306;0.9621019170975236;0.9500393114641027;16.965087713876326;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000954_rendered.png
200;200;986.544;439.08099999999996;0.856299;983.51;562.705;0.815751;886.533;568.476;0.776779;854.054;730.4739999999999;0.8486020000000001;774.59;810.005;0.8764299999999999;1077.75;559.687;0.776241;1130.71;724.6010000000001;0.8214819999999999;1210.12;833.4839999999999;0.90223;980.612;833.316;0.757405;927.51;830.413;0.69702;742.248;877.568;0.7642100000000001;1001.17;930.452;0.6349199999999999;1045.29;833.4060000000001;0.7351840000000001;1230.69;904.168;0.786144;930.586;927.673;0.24964499999999998;971.805;418.522;0.887028;1004.27;424.346;0.860031;942.342;436.186;0.914586;1030.62;439.09;0.879509;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1116.06;942.304;0.366842;1101.32;954.028;0.377864;1004.16;930.552;0.167629;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001242_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001242_rendered.png;0.1994547286085986;13.064184406104395;0.20870797799832727;2.597850031903851;0.8214183813984345;0.12500565508821027;0.5000113100485035;0.2611129947403809;18.179564312651905;0.5000113100485035;11.321020808425885;0.2500113101764207;0.8656413900300934;1.0;1.0;0.9857201533054839;0.3680069731244214;0.9825001131017642;0.3680069731244214;0.9626462489570542;0.9792916331693661;15.867099505273787;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001242_rendered.png;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001242_rendered.png
215;215;998.163;439.13800000000003;0.8916940000000001;992.319;565.61;0.80203;895.2289999999999;568.498;0.767183;862.985;739.1460000000001;0.8760530000000001;786.388;812.712;0.9450280000000001;1083.58;559.762;0.76084;1121.83;727.505;0.8503700000000001;1192.61;833.535;0.813666;986.507;833.41;0.724963;927.6669999999999;830.44;0.696381;756.946;874.618;0.636946;1001.18;930.4860000000001;0.648825;1048.34;833.5269999999999;0.729533;1230.78;904.1669999999999;0.754876;951.154;927.5360000000001;0.242783;974.8489999999999;421.381;0.9143290000000001;1018.8;427.26099999999997;0.866972;951.079;436.26099999999997;0.950148;1039.52;442.004;0.8591469999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1113.02;936.4169999999999;0.292484;1095.44;951.2439999999999;0.30135300000000004;1004.18;930.6460000000001;0.15232;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001332_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001332_rendered.png;0.002395941640251992;0.1102390004389295;0.006710825832661915;0.030874837048075934;0.00021865998349690496;3.7142825868419216e-05;0.00861891244513347;0.0030642801577951875;2.2694167918490282;0.00861891244513347;0.24698992128440458;7.42856517368766e-05;0.8448022482205676;0.88;1.0;0.9835765756959984;0.3575965660950911;0.9800007428565174;0.3575965660950911;0.9560894478220877;0.8747585985582579;11.582732614930883;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001332_rendered.png
219;219;1001.23;439.004;0.921874;998.1360000000001;565.646;0.8512280000000001;903.997;562.6669999999999;0.7902899999999999;860.055;733.3660000000001;0.870323;789.432;795.203;0.870864;1089.41;565.63;0.7628689999999999;1133.68;724.61;0.82091;1207.16;833.32;0.8610270000000001;983.6060000000001;830.462;0.719803;927.707;821.71;0.68621;748.1089999999999;865.82;0.7273609999999999;995.337;930.444;0.674171;1048.26;833.408;0.712324;1230.78;904.0269999999999;0.8031189999999999;951.211;924.622;0.213259;980.673;418.517;0.877714;1021.9;424.31699999999995;0.903898;954.118;436.194;0.983309;1045.44;439.147;0.9314959999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1113.02;939.4119999999999;0.370062;1095.44;951.265;0.364155;1004.12;930.555;0.189549;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001356_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001356_rendered.png;0.0010916386793984175;0.05341669141658708;0.002418664602503451;0.014060145661096118;3.640506988633607e-05;6.351643951574282e-06;0.003564167210289448;0.0013757367785341525;1.5129279133269842;0.003564167210289448;0.11256957417841436;1.270328790290247e-05;0.8447197103058888;0.88;1.0;0.9835743124974595;0.35742081666781605;0.9800001270328791;0.35742081666781605;0.9560630169887705;0.8740705717370423;9.43563568397604;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001356_rendered.png
288;288;1001.1;436.11300000000006;0.9574370000000001;1004.26;553.903;0.883373;915.873;550.979;0.816472;833.423;668.534;0.899328;856.944;512.594;0.8660129999999999;1095.49;556.882;0.811242;1163.07;698.079;0.8587879999999999;1204.26;789.175;0.8418200000000001;995.297;833.3580000000001;0.72816;936.444;830.442;0.665575;786.3530000000001;812.789;0.850664;1024.77;951.025;0.758901;1048.29;833.452;0.722767;1204.26;853.9910000000001;0.629728;942.3610000000001;927.711;0.7229720000000001;977.712;421.426;0.913537;1021.68;415.57300000000004;0.9221790000000001;954.253;441.941;0.921884;1045.47;436.10699999999997;0.992719;886.48;942.317;0.654724;901.082;951.0989999999999;0.669251;927.71;936.427;0.253874;1116.03;942.332;0.5638850000000001;1101.31;954.054;0.5230779999999999;1033.54;954.038;0.43226400000000004;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001770_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001770_rendered.png;0.0013834487767474708;0.07755546929066887;0.002257754493732167;0.01900856610025195;0.0001370676329717213;8.569013032699857e-06;0.004139809906939655;0.0015765610269724692;1.0807146534437009;0.004139809906939655;0.1358634322461163;1.7138026065595707e-05;0.8544406858822944;1.0;1.0;0.9838031845053948;0.38030457134823975;0.9800001713802606;0.38030457134823975;0.9591506712660632;0.9609187756569852;1.5650825024968622;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001770_rendered.png
292;292;1001.17;442.02099999999996;0.8790690000000001;1004.13;556.757;0.8693930000000001;918.785;553.844;0.766629;812.924;706.852;0.843124;880.5310000000001;597.951;0.87492;1095.31;559.727;0.8174739999999999;1160.08;698.0989999999999;0.834782;1204.27;789.2230000000001;0.8550030000000001;995.2410000000001;833.3330000000001;0.719329;933.534;830.419;0.6664800000000001;786.3389999999999;812.8530000000001;0.8499770000000001;1024.82;951.1039999999999;0.776219;1048.31;833.436;0.720459;1198.42;856.847;0.626832;942.347;927.7180000000001;0.7307130000000001;977.817;430.163;0.906018;1021.82;427.277;0.895072;954.205;439.145;0.916523;1048.18;436.28;0.959002;886.4760000000001;942.308;0.670689;901.127;951.1030000000001;0.694059;930.4810000000001;936.427;0.253148;1116.02;942.332;0.552248;1101.29;954.069;0.514778;1033.63;954.1030000000001;0.423706;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001794_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001794_rendered.png;0.0031887926110173923;0.18531374628860542;0.017585358463964987;0.04388294602590129;0.0033489013705843007;0.00018165946794912458;0.019060926942262954;0.007850410657535301;2.1181807539828523;0.019060926942262954;0.503807753047204;0.0003633189358982858;0.8546946536011287;1.0;1.0;0.9838117508861642;0.3808809603131325;0.980003633189359;0.3808809603131325;0.9592306612310789;0.9631651081488745;1.512217501781393;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001794_rendered.png
