;Unnamed;Nose_X;Nose_Y;Nose_Conf;Neck_X;Neck_Y;Neck_Conf;Rshoulder_X;Rshoulder_Y;Rshoulder_Conf;Relbow_X;Relbow_Y;Relbow_Conf;Rwrist_X;Rwrist_Y;Rwrist_Conf;Lshoulder_X;Lshoulder_Y;Lshoulder_Conf;Lelbow_X;Lelbow_Y;Lelbow_Conf;Lwrist_X;Lwrist_Y;Lwrist_Conf;MidHip_X;MidHip_Y;MidHip_Conf;Rhip_X;Rhip_Y;Rhip_Conf;Rknee_X;Rknee_Y;Rknee_Conf;Rankle_X;Rankle_Y;Rankle_Conf;Lhip_X;Lhip_Y;Lhip_Conf;Lknee_X;Lknee_Y;Lknee_Conf;Lankle_X;Lankle_Y;Lankle_Conf;Reye_X;Reye_Y;Reye_Conf;Leye_X;Leye_Y;Leye_Conf;Rear_X;Rear_Y;Rear_Conf;Lear_X;Lear_Y;Lear_Conf;Lbigtoe_X;Lbigtoe_Y;Lbigtoe_Conf;Lsmalltoe_X;Lsmalltoe_Y;Lsmalltoe_Conf;Lheel_X;Lheel_Y;Lheel_Conf;Rbigtoe_X;Rbigtoe_Y;Rbigtoe_Conf;Rsmalltoe_X;Rsmalltoe_Y;Rsmalltoe_Conf;Rheel_X;Rheel_Y;Rheel_Conf;Filename;Imagename;braycurtis;canberra;chebyshev;cityblock;correlation;cosine;euclidean;jensenshannon;mahalanobis;minkowski;seuclidean;sqeuclidean;dice;hamming;jaccard;kulsinski;rogerstanimoto;russellrao;sokalmichener;sokalsneath;yule;mahalanobis_minpeak;MahalanobisSummary;UnifSamplBaseline;SBDBaseline
0;0;1348.56;671.582;0.915883;1327.92;768.655;0.796606;1304.42;724.567;0.743037;1168.96;718.554;0.625026;1163.01;703.9860000000001;0.190458;1345.57;812.77;0.762416;1186.57;809.9680000000001;0.8738459999999999;1095.55;677.4119999999999;0.8135640000000001;1074.8;836.393;0.461675;1086.52;809.924;0.319588;1139.58;577.3530000000001;0.406913;1007.12;439.085;0.24101399999999998;1071.91;859.888;0.49522;1077.71;659.785;0.5429970000000001;1077.75;650.952;0.0564638;1360.32;656.903;0.219148;1374.95;671.7130000000001;0.935707;0.0;0.0;0.0;1404.42;724.597;0.8667809999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;995.291;359.564;0.176862;995.317;362.55300000000005;0.15024500000000002;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000041928_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000041928_rendered.png;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.697239833209725;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000041928_rendered.png;
44;44;1274.87;533.275;0.8383219999999999;1280.68;665.655;0.776199;1166.12;601.061;0.729935;968.842;671.617;0.8079;839.332;668.694;0.345146;1395.56;718.773;0.661215;1210.2;857.0980000000001;0.841534;998.216;812.7460000000001;0.789976;1071.87;901.15;0.40807899999999997;1027.72;833.453;0.37816;768.6460000000001;645.045;0.6082489999999999;397.843;1074.79;0.181943;1118.9;951.1669999999999;0.441825;892.2710000000001;812.796;0.07956010000000001;0.0;0.0;0.0;1268.99;503.775;0.8634360000000001;1316.1;524.317;0.849527;0.0;0.0;0.0;1404.41;551.013;0.869059;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;389.00699999999995;1074.84;0.0763169;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000042192_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000042192_rendered.png;0.18409331679102262;14.495317279478078;0.14525328302666615;2.295219330945212;0.3424039167582582;0.11253542412462403;0.47441632375925685;0.2977866650940944;11.555813454323692;0.47441632375925685;6.181100386403017;0.225070848249248;0.8576377472037456;0.96;1.0;0.985377753624789;0.35235717878789136;0.9822507084824924;0.35235717878789136;0.9601551330331057;0.9074474696487347;7.517889700025037;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000042192_rendered.png
78;78;1457.36;748.128;0.760175;1354.53;812.789;0.709901;1354.34;783.3739999999999;0.470026;1242.51;748.1139999999999;0.25308400000000003;1236.65;668.558;0.135679;1366.15;853.99;0.670934;1236.78;745.2139999999999;0.7731859999999999;1233.57;627.48;0.817206;1065.95;792.288;0.350733;1045.38;786.3380000000001;0.211684;1039.46;806.949;0.059178999999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1472.13;756.913;0.383232;1472.28;768.755;0.839426;0.0;0.0;0.0;1463.34;833.357;0.8660899999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000042396_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000042396_rendered.png;0.23607277636643834;10.181679354433967;0.2201841463098174;2.160818937520447;0.2093084327455128;0.13771374183047702;0.5248118554881872;0.32525652759796403;9.286736765218953;0.5248118554881872;8.203860687313409;0.27542748366095393;0.8115878128851501;0.56;1.0;0.9849850771550176;0.2587078591677399;0.9827542748366095;0.2587078591677399;0.9451455127900732;0.54652636565483;5.104717687590671;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000042396_rendered.png
100;100;1325.01;745.1360000000001;0.852726;1230.72;806.942;0.7258479999999999;1207.22;759.883;0.577466;1057.17;774.5930000000001;0.481137;965.8989999999999;721.6610000000001;0.66537;1242.58;845.248;0.744475;1089.51;903.903;0.859842;977.632;809.988;0.8726809999999999;930.5939999999999;806.9960000000001;0.600716;936.438;771.6;0.526085;765.7760000000001;597.996;0.789328;789.206;815.784;0.650305;933.4810000000001;836.465;0.660519;742.283;645.044;0.825659;789.2589999999999;874.694;0.809811;1348.42;759.7669999999999;0.288787;1339.73;765.8989999999999;0.808783;0.0;0.0;0.0;1319.1;833.291;0.8375040000000001;695.1389999999999;898.2080000000001;0.7597619999999999;715.7310000000001;906.942;0.808182;809.918;886.423;0.9072389999999999;733.337;818.7510000000001;0.726719;739.199;815.7510000000001;0.761532;821.627;827.544;0.282839;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000042528_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000042528_rendered.png;0.0035123746815362354;0.18563158657898943;0.00370732421716026;0.047607394590908944;0.0005313182760957602;4.328703811884438e-05;0.009304519129855906;0.0035929810356068177;0.591377416241568;0.009304519129855906;0.1711854111990866;8.657407623785452e-05;0.8524505417101654;0.96;1.0;0.9837548783790865;0.3754175145446642;0.9800008657407624;0.3754175145446642;0.9585226669054898;0.9425466287607629;4.176741363357565;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000042528_rendered.png;
121;121;1260.14;748.1410000000001;0.827633;1157.16;809.8789999999999;0.687815;1142.45;748.095;0.623434;1048.3;762.72;0.37696599999999997;954.158;748.164;0.733841;1163.02;859.92;0.736413;1001.1;907.1110000000001;0.904903;904.0989999999999;806.945;0.784896;880.444;815.7660000000001;0.543006;898.1489999999999;777.498;0.378112;730.442;594.94;0.78192;718.7439999999999;812.923;0.623865;868.7819999999999;839.326;0.65018;694.9839999999999;642.115;0.8284040000000001;718.6080000000001;865.826;0.809768;1277.78;748.08;0.43458199999999997;1277.8;768.785;0.816945;0.0;0.0;0.0;1260.1;833.508;0.904065;627.474;886.441;0.7714770000000001;648.003;901.1210000000001;0.841001;739.257;883.418;0.9120149999999999;665.627;818.7689999999999;0.697256;671.5310000000001;815.795;0.696517;756.885;818.7360000000001;0.253328;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000042654_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000042654_rendered.png;0.003343809541469399;0.1709791035975264;0.005911929646188252;0.04539503876332342;0.0007033614518986431;5.5624973791856824e-05;0.010547509070090643;0.0039038518713680513;0.5192569065384431;0.010547509070090643;0.16527763558227568;0.00011124994758364438;0.8526877106732312;0.96;1.0;0.9837607981727586;0.3759894817333434;0.9800011124994757;0.3759894817333434;0.9585976179002905;0.9447098037888961;2.7947568611021354;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000042654_rendered.png;;
186;186;1186.68;503.84;0.892085;1068.86;671.5;0.576695;989.415;600.989;0.33032100000000003;856.998;580.368;0.504451;895.206;436.059;0.382085;1157.18;748.097;0.628832;951.1489999999999;883.559;0.771249;777.547;692.0269999999999;0.727979;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1213.1;503.685;0.22069;1233.8;530.452;0.881685;0.0;0.0;0.0;1245.46;651.006;0.79176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000043044_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000043044_rendered.png;0.2517946135967747;13.292984598204587;0.21821400029314172;2.480354015530796;0.3104836144211699;0.17180352342906524;0.5861800464517115;0.3717939478306696;8.750340071936403;0.5861800464517115;10.30702410441326;0.3436070468581307;0.8318502838750925;0.64;1.0;0.9857684286915088;0.2816189502018073;0.9834360704685813;0.2816189502018073;0.9518960749643436;0.6566183001756534;7.743477161337015;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000043044_rendered.png
200;200;1189.53;503.81;0.85726;1065.98;677.456;0.566404;983.549;615.6519999999999;0.389752;886.459;597.862;0.540355;912.8810000000001;480.24199999999996;0.48891;1157.16;751.0419999999999;0.631555;939.38;907.1080000000001;0.7058939999999999;792.202;692.2460000000001;0.748745;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1239.72;530.408;0.836816;0.0;0.0;0.0;1245.52;650.999;0.791131;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000043128_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000043128_rendered.png;0.17709866757362522;7.262717405796856;0.2773236323899938;1.629439505787099;0.19645650903659884;0.11883335170078724;0.48751072131961815;0.2939861251876234;13.58837068210115;0.48751072131961815;8.838608841464149;0.2376667034015744;0.808457523252787;0.52;1.0;0.9846589305436153;0.2590047539820844;0.9823766670340157;0.2590047539820844;0.9440812720816745;0.5445096542043526;7.343724774376758;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000043128_rendered.png;
208;208;1257.17;759.9110000000001;0.8662059999999999;1142.58;812.971;0.712849;1139.41;756.961;0.5281100000000001;1060.12;762.743;0.07089580000000001;962.9689999999999;756.865;0.18346300000000001;1151.34;862.92;0.696808;995.365;907.0210000000001;0.8830620000000001;901.178;809.934;0.855033;883.535;833.3989999999999;0.430227;927.6110000000001;789.262;0.48568;909.9960000000001;595.007;0.490088;733.365;674.6060000000001;0.747527;862.929;854.0239999999999;0.5251359999999999;945.235;571.439;0.49234399999999995;736.196;768.7660000000001;0.73934;1271.93;756.953;0.435683;1269.01;780.4989999999999;0.797405;0.0;0.0;0.0;1257.19;836.4069999999999;0.881793;644.951;753.935;0.724738;656.8380000000001;765.748;0.7074630000000001;727.439;795.159;0.64905;651.033;639.206;0.708014;665.6489999999999;639.1759999999999;0.632321;724.493;695.275;0.7176859999999999;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000043176_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000043176_rendered.png;0.46784498581954265;32.90082135468387;0.21181124091148107;5.082171240913829;0.4258635444675053;0.31073255306453473;0.7883305817542977;0.5087415246696966;12.212241374006153;0.7883305817542977;11.919602737772118;0.6214651061290694;0.8730974209049235;0.96;1.0;0.9884126358032752;0.31888706651633264;0.9862146510612907;0.31888706651633264;0.9649371838791795;0.8597013282569403;7.105125706633631;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000043176_rendered.png
244;244;1257.28;756.875;0.825793;1142.46;812.971;0.6358739999999999;1165.99;792.298;0.42368900000000004;1051.2;739.29;0.415472;0.0;0.0;0.0;1124.86;848.164;0.6126159999999999;998.247;792.291;0.23022600000000001;857.112;698.033;0.308196;856.988;818.7389999999999;0.363871;845.253;830.508;0.233498;898.1239999999999;556.821;0.500346;695.148;671.6110000000001;0.641537;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1269.06;751.043;0.408069;1269.05;771.6619999999999;0.7911600000000001;0.0;0.0;0.0;1254.33;833.5419999999999;0.8420190000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;601.005;668.561;0.615268;600.991;665.575;0.534248;692.221;695.18;0.5575220000000001;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000043392_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000043392_rendered.png;0.2943140267106532;24.088977752410557;0.20354062714242888;3.341835775039369;0.6592804537370722;0.2342837461454017;0.6845198991196703;0.44967167302564154;11.37688888922425;0.6845198991196703;9.635658728363376;0.4685674922908036;0.8651274035229402;0.92;1.0;0.9872003520543283;0.3284084827455738;0.984685674922908;0.3284084827455738;0.9624872715672357;0.8885153832474686;5.394557012725343;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000043392_rendered.png;;
300;300;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;933.49;739.2139999999999;0.177499;945.268;718.74;0.17868299999999998;886.404;592.034;0.41799;703.98;727.448;0.579453;927.637;756.934;0.0973999;886.5010000000001;595.031;0.502437;709.762;724.6060000000001;0.27445;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;601.086;695.2;0.17416500000000001;615.653;718.5930000000001;0.183844;695.185;748.0939999999999;0.263061;609.789;698.075;0.548088;615.659;698.038;0.508983;700.98;751.0369999999999;0.502476;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000043728_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000043728_rendered.png;0.6695238742490867;37.036184628037255;0.2416049132672753;6.97610248802078;1.3692816217043573;0.6258659324820051;1.118808234222474;0.663332779420235;11.474563085578781;1.118808234222474;17.98266550284412;1.2517318649640103;0.9281857768565309;0.92;1.0;0.9937300761178112;0.32415050471516993;0.9925173186496401;0.32415050471516993;0.9810244060610753;1.2195192140034796;6.544022380590314;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000043728_rendered.png;
