;Unnamed;Nose_X;Nose_Y;Nose_Conf;Neck_X;Neck_Y;Neck_Conf;Rshoulder_X;Rshoulder_Y;Rshoulder_Conf;Relbow_X;Relbow_Y;Relbow_Conf;Rwrist_X;Rwrist_Y;Rwrist_Conf;Lshoulder_X;Lshoulder_Y;Lshoulder_Conf;Lelbow_X;Lelbow_Y;Lelbow_Conf;Lwrist_X;Lwrist_Y;Lwrist_Conf;MidHip_X;MidHip_Y;MidHip_Conf;Rhip_X;Rhip_Y;Rhip_Conf;Rknee_X;Rknee_Y;Rknee_Conf;Rankle_X;Rankle_Y;Rankle_Conf;Lhip_X;Lhip_Y;Lhip_Conf;Lknee_X;Lknee_Y;Lknee_Conf;Lankle_X;Lankle_Y;Lankle_Conf;Reye_X;Reye_Y;Reye_Conf;Leye_X;Leye_Y;Leye_Conf;Rear_X;Rear_Y;Rear_Conf;Lear_X;Lear_Y;Lear_Conf;Lbigtoe_X;Lbigtoe_Y;Lbigtoe_Conf;Lsmalltoe_X;Lsmalltoe_Y;Lsmalltoe_Conf;Lheel_X;Lheel_Y;Lheel_Conf;Rbigtoe_X;Rbigtoe_Y;Rbigtoe_Conf;Rsmalltoe_X;Rsmalltoe_Y;Rsmalltoe_Conf;Rheel_X;Rheel_Y;Rheel_Conf;Filename;Imagename;braycurtis;canberra;chebyshev;cityblock;correlation;cosine;euclidean;jensenshannon;mahalanobis;minkowski;seuclidean;sqeuclidean;dice;hamming;jaccard;kulsinski;rogerstanimoto;russellrao;sokalmichener;sokalsneath;yule;mahalanobis_minpeak;MahalanobisSummary;UnifSamplBaseline;SBDBaseline
0;0;1068.99;315.376;0.895425;1068.93;621.534;0.731996;833.4760000000001;621.4490000000001;0.49861000000000005;680.3580000000001;1051.27;0.595935;859.947;765.7639999999999;0.665036;1301.39;624.491;0.619019;1369.16;1051.3;0.45654399999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1018.9;268.26599999999996;0.905958;1118.93;256.522;0.8766950000000001;960.051;318.448;0.797293;1189.71;312.474;0.865024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000000_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.298053518467444;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png
100;100;1068.73;321.368;0.847042;1068.93;642.141;0.714666;836.321;639.1709999999999;0.51253;765.807;998.2760000000001;0.398575;765.7610000000001;1074.88;0.052420299999999996;1304.41;642.1569999999999;0.573956;1313.25;1074.82;0.351853;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1004.2;282.99;0.831461;1115.95;271.306;0.9312860000000001;951.0360000000001;338.879;0.865143;1186.49;318.301;0.919243;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000600_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000600_rendered.png;0.0777226321737682;2.518632463574394;0.2594579773351666;0.6568231894420574;0.07985143548460905;0.05212814216588524;0.32288741742559485;0.19198754228928136;7.659042401857579;0.32288741742559485;4.516062962101246;0.10425628433177035;0.7756744982865553;0.44;1.0;0.9832398570239507;0.23181342103074587;0.9810425628433177;0.23181342103074587;0.9325747166919521;0.420655491612066;3.157120579332947;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000600_rendered.png;
138;138;1068.98;321.27099999999996;0.876208;1051.24;627.4169999999999;0.691296;812.814;630.3380000000001;0.522161;792.198;1004.18;0.528153;0.0;0.0;0.0;1292.6;624.4830000000001;0.589587;1316.09;1030.65;0.48003999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1018.84;268.453;0.911293;1119.09;271.34;0.911997;945.2330000000001;318.329;0.8414729999999999;1180.72;321.318;0.839923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000828_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000828_rendered.png;0.0020225733495065268;0.07780566992649704;0.004117831718380857;0.01661903118386379;2.5443230997401756e-05;1.7571443115649288e-05;0.005928143573781018;0.0034665479046748875;0.45843767547250974;0.005928143573781018;0.13986463035572994;3.514288623136118e-05;0.7565997936224169;0.4;1.0;0.9822120391252898;0.22117265596548652;0.9800003514288623;0.22117265596548652;0.925561119192265;0.36847137186698964;2.4939806066183725;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000828_rendered.png;;
173;173;1051.22;274.243;0.877807;1095.36;627.471;0.714384;859.8739999999999;630.339;0.521015;815.7660000000001;1045.36;0.432613;0.0;0.0;0.0;1333.78;627.4630000000001;0.571853;1357.3;1048.21;0.512624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1001.34;247.89;0.906683;1107.1;227.19099999999997;0.84995;968.7810000000001;324.252;0.748838;1192.59;294.973;0.8527040000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001038_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001038_rendered.png;0.00400344849447038;0.12111515107456597;0.005684217037558947;0.03265335972135641;7.578963987397991e-05;5.1624575586939336e-05;0.010161158948370538;0.004996527545227831;1.1340998148778054;0.010161158948370538;0.22427559822000473;0.00010324915117405068;0.7548036800928198;0.4;1.0;0.982193513618525;0.21925943187643235;0.9800010324915118;0.21925943187643235;0.9248880374187607;0.36222934102954973;6.26085137084349;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001038_rendered.png
174;174;1069.02;300.735;0.8586280000000001;1092.46;627.462;0.6894279999999999;857.01;627.462;0.547542;815.877;1033.6;0.380223;0.0;0.0;0.0;1333.77;627.476;0.583448;1354.43;1074.79;0.360927;1351.46;1074.89;0.0555056;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1021.83;265.314;0.8813209999999999;1121.88;247.826;0.8911209999999999;977.798;315.314;0.660454;1210.16;306.589;0.8629760000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001044_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001044_rendered.png;0.10561853121304263;2.7612628990473254;0.31106871867369523;0.8850672940972357;0.12592804387949807;0.08247189144923328;0.4061327158681833;0.21737190889641375;5.3957249199255335;0.4061327158681833;5.435481791378046;0.16494378289846648;0.7810155864573919;0.44;1.0;0.983773428622997;0.23149054227527407;0.9816494378289846;0.23149054227527407;0.9344955577038553;0.43017430437275683;6.27784361047753;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001044_rendered.png
175;175;1048.45;359.629;0.8453950000000001;1095.52;624.5419999999999;0.72853;862.926;621.42;0.5421520000000001;827.557;1001.16;0.550072;0.0;0.0;0.0;1339.66;624.487;0.584703;1357.32;1074.81;0.561485;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1004.17;297.778;0.879238;1113.09;288.931;0.870876;971.673;327.217;0.0786013;1207.24;300.767;0.840403;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001050_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001050_rendered.png;0.1092340441747963;3.0709821991959663;0.31106871867369523;0.9190801016132366;0.12704204785061834;0.08262761892581438;0.40651597490335956;0.21763643593614618;6.043447229437323;0.40651597490335956;5.473729695944448;0.16525523785162888;0.7819378419288965;0.44;1.0;0.9837860250121697;0.23256342546035313;0.9816525523785162;0.23256342546035313;0.9348253701557289;0.4341672313225628;6.426821244614266;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001050_rendered.png
176;176;1068.78;365.582;0.8655149999999999;1095.51;624.5169999999999;0.744455;862.882;621.555;0.564546;827.525;1004.18;0.501426;0.0;0.0;0.0;1339.65;624.499;0.588675;1354.47;1074.8;0.380207;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1018.77;312.491;0.872541;1118.82;294.949;0.929617;974.6260000000001;336.00699999999995;0.472016;1210.09;312.39;0.8704290000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001056_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001056_rendered.png;0.0033189687014088536;0.09895896766589596;0.004046101737870622;0.027292532176959566;4.36644966195221e-05;2.9687226858254867e-05;0.0077054820560716305;0.0036321694402805323;0.5621621509637373;0.0077054820560716305;0.1364044840373032;5.9374453716441883e-05;0.756792799663061;0.4;1.0;0.9822142937962463;0.22137657722757972;0.9800005937445371;0.22137657722757972;0.9256333149668216;0.3691436015487928;6.598184949587689;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001056_rendered.png
178;178;556.886;318.235;0.899495;547.832;436.05400000000003;0.865598;436.18300000000005;433.281;0.799108;389.022;577.389;0.9156850000000001;536.201;506.68;0.7975810000000001;645.02;436.14599999999996;0.8330620000000001;724.553;598.077;0.8439700000000001;597.946;506.87699999999995;0.825125;556.797;742.176;0.516853;489.12199999999996;742.258;0.42997700000000005;386.022;718.6030000000001;0.637933;624.429;842.285;0.495712;627.445;739.321;0.462135;748.067;759.86;0.0897975;524.386;836.49;0.179126;533.189;294.808;0.9205059999999999;577.368;294.71299999999997;0.93137;486.17699999999996;309.577;0.856324;598.0830000000001;300.777;0.43060200000000004;494.95300000000003;845.248;0.27093;494.945;853.954;0.27020700000000003;503.767;854.047;0.0955575;736.255;842.2810000000001;0.340042;718.659;854.055;0.305492;645.085;854.072;0.160971;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001068_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001068_rendered.png;0.5650176179146388;33.28487679620669;0.19587914202472723;6.281345885130454;1.2817097750011799;0.47373952031483824;0.9733853505316774;0.5531159731793697;9.465765447158375;0.9733853505316774;13.156088381884663;0.9474790406296765;0.9053239709858297;1.0;1.0;0.9912384192808738;0.3351247039549993;0.9894747904062967;0.3351247039549993;0.9745218663564067;1.0680364070631712;6.9075452044758965;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001068_rendered.png
179;179;577.254;318.256;0.946259;542.03;435.985;0.839992;439.06699999999995;433.129;0.784084;412.68300000000005;580.319;0.8665459999999999;559.752;506.744;0.810497;642.0840000000001;436.12300000000005;0.823119;727.443;600.855;0.874834;618.625;512.578;0.825398;571.508;748.105;0.586178;506.731;751.034;0.531904;433.218;712.694;0.8433459999999999;653.884;836.323;0.638088;636.2769999999999;742.122;0.566943;839.3;706.929;0.7574850000000001;580.381;830.544;0.613092;550.985;294.762;0.9494610000000001;592.1030000000001;294.814;0.908326;500.781;303.64799999999997;0.8487520000000001;0.0;0.0;0.0;533.265;836.493;0.48223;547.8430000000001;848.1460000000001;0.50158;556.759;845.182;0.202022;780.466;833.331;0.56324;762.8430000000001;839.284;0.55174;677.425;853.988;0.235433;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001074_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001074_rendered.png;0.02908502350836729;2.6803799042231513;0.13716874560877182;0.39269525642782543;0.1284795455614226;0.012591344373863222;0.15869054397703344;0.10391612207206422;6.207747620276148;0.15869054397703344;2.189913862240535;0.02518268874772679;0.8537349077119304;1.0;1.0;0.983951571751246;0.3746923670040751;0.9802518268874771;0.3746923670040751;0.958928198837365;0.9458906188788633;7.122592323304846;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001074_rendered.png
200;200;503.663;297.76;0.6889569999999999;598.009;462.559;0.8308549999999999;692.1489999999999;459.708;0.810345;0.0;0.0;0.0;0.0;0.0;0.0;506.726;468.463;0.714978;368.37800000000004;671.587;0.760767;0.0;0.0;0.0;597.896;859.914;0.44325699999999996;648.062;857.01;0.386598;0.0;0.0;0.0;0.0;0.0;0.0;542.053;857.0189999999999;0.375679;188.865;771.5980000000001;0.17189100000000002;0.0;0.0;0.0;0.0;0.0;0.0;506.724;280.074;0.80167;0.0;0.0;0.0;550.911;294.957;0.9052120000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001200_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001200_rendered.png;0.391561870412135;18.440926885450647;0.2586247448274182;3.7975120396674416;0.5577742204964766;0.3031564570144276;0.7786609750262661;0.46243817688736405;16.4778849521191;0.7786609750262661;11.20245267149954;0.6063129140288553;0.8562967762967543;0.68;1.0;0.988048240659109;0.28487191117755023;0.9860631291402885;0.28487191117755023;0.9597344803397392;0.7480326087913105;8.330529649548062;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001200_rendered.png;
