;Unnamed;Nose_X;Nose_Y;Nose_Conf;Neck_X;Neck_Y;Neck_Conf;Rshoulder_X;Rshoulder_Y;Rshoulder_Conf;Relbow_X;Relbow_Y;Relbow_Conf;Rwrist_X;Rwrist_Y;Rwrist_Conf;Lshoulder_X;Lshoulder_Y;Lshoulder_Conf;Lelbow_X;Lelbow_Y;Lelbow_Conf;Lwrist_X;Lwrist_Y;Lwrist_Conf;MidHip_X;MidHip_Y;MidHip_Conf;Rhip_X;Rhip_Y;Rhip_Conf;Rknee_X;Rknee_Y;Rknee_Conf;Rankle_X;Rankle_Y;Rankle_Conf;Lhip_X;Lhip_Y;Lhip_Conf;Lknee_X;Lknee_Y;Lknee_Conf;Lankle_X;Lankle_Y;Lankle_Conf;Reye_X;Reye_Y;Reye_Conf;Leye_X;Leye_Y;Leye_Conf;Rear_X;Rear_Y;Rear_Conf;Lear_X;Lear_Y;Lear_Conf;Lbigtoe_X;Lbigtoe_Y;Lbigtoe_Conf;Lsmalltoe_X;Lsmalltoe_Y;Lsmalltoe_Conf;Lheel_X;Lheel_Y;Lheel_Conf;Rbigtoe_X;Rbigtoe_Y;Rbigtoe_Conf;Rsmalltoe_X;Rsmalltoe_Y;Rsmalltoe_Conf;Rheel_X;Rheel_Y;Rheel_Conf;Filename;Imagename;braycurtis;canberra;chebyshev;cityblock;correlation;cosine;euclidean;jensenshannon;mahalanobis;minkowski;seuclidean;sqeuclidean;dice;hamming;jaccard;kulsinski;rogerstanimoto;russellrao;sokalmichener;sokalsneath;yule;mahalanobis_minpeak;MahalanobisSummary;UnifSamplBaseline;SBDBaseline
0;0;742.211;342.087;0.879548;724.512;748.095;0.601891;418.455;745.199;0.410629;0.0;0.0;0.0;0.0;0.0;0.0;1045.33;736.2810000000001;0.531844;1095.41;1074.88;0.0560111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;671.547;291.728;0.901167;809.745;286.01;0.8631610000000001;592.124;365.413;0.840656;883.607;353.68300000000005;0.800318;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000000_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.297552104990421;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png
33;33;715.587;338.95099999999996;0.8367540000000001;692.048;739.2080000000001;0.6075189999999999;368.399;730.432;0.39541;0.0;0.0;0.0;0.0;0.0;0.0;1012.96;733.36;0.497109;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;639.1519999999999;268.246;0.866116;777.533;268.26099999999997;0.8652700000000001;550.942;336.00199999999995;0.856425;857.1080000000001;321.306;0.8438040000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000198_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000198_rendered.png;0.004949174349733462;0.09593698894710131;0.005666991841953295;0.036835551938600844;7.611393966000524e-05;5.615334768616087e-05;0.010597485332490818;0.004435297748220605;1.344460963208388;0.010597485332490818;0.28801024041244816;0.00011230669537235803;0.7312978263350317;0.32;1.0;0.9819644315436332;0.19634187292139912;0.9800011230669537;0.19634187292139912;0.9158700265267864;0.2906623416397907;6.864551548821362;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000198_rendered.png
34;34;1118.92;427.251;0.17547100000000002;1160.16;512.639;0.239353;1065.93;533.258;0.192348;0.0;0.0;0.0;0.0;0.0;0.0;1254.3;477.32599999999996;0.144746;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1095.46;409.591;0.196463;1136.62;403.73;0.176218;1071.89;418.478;0.18417999999999998;1168.93;400.819;0.194867;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000204_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000204_rendered.png;0.1314550481729728;2.1194421147748703;0.16168376322796443;0.971256624727159;0.07548774886750409;0.054935752958625406;0.33146871031403685;0.12817651141418498;19.025939909336007;0.33146871031403685;8.151783238962903;0.1098715059172509;0.7441799356451705;0.32;1.0;0.9829713180461143;0.19814557505525163;0.9810987150591726;0.19814557505525163;0.9208609701244947;0.31021841637538433;6.669612138028361;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000204_rendered.png
36;36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1513.34;439.061;0.07279110000000001;1495.74;500.86199999999997;0.267795;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1451.55;527.216;0.362299;1463.27;527.383;0.344858;1504.46;506.69800000000004;0.259294;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000330_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000330_rendered.png;1.0;28.0;0.43158275387686124;7.031394506759076;1.3226385758210986;1.0;1.4142135623730951;0.8325546111576977;22.20150721726549;1.4142135623730951;24.55880649870607;2.0;1.0;0.56;1.0;1.0;0.2465797853119566;1.0;0.2465797853119566;1.0;2.0;6.478373025194629;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000330_rendered.png
37;37;1263.14;368.39099999999996;0.899853;1292.54;483.26599999999996;0.776165;1239.7;474.406;0.759424;1257.34;689.1560000000001;0.661428;1186.54;765.86;0.855165;1342.6;497.941;0.693268;1345.62;712.806;0.8493729999999999;1210.25;812.814;0.9179940000000001;1292.58;815.811;0.609758;1260.19;801.078;0.556138;1007.1;853.961;0.76125;1239.65;909.975;0.0863453;1327.95;833.503;0.564398;1027.8;907.166;0.770142;1333.8;927.555;0.528129;1248.4;342.042;0.886835;1292.62;344.89599999999996;0.874865;1227.86;356.66900000000004;0.65188;1333.84;362.53;0.93705;1389.67;927.5060000000001;0.487019;1386.79;921.677;0.496674;1354.39;924.5880000000001;0.34408;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000336_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000336_rendered.png;0.6451118658644548;36.10945358291137;0.2814351857608129;5.869225752886546;0.6641551309789399;0.5025208247958974;1.0025176555012858;0.6166641135257531;20.82515439759625;1.0025176555012858;16.90414076359312;1.0050416495917949;0.8906398450300563;0.88;1.0;0.9914379834917239;0.27891961411984795;0.9900504164959179;0.27891961411984795;0.9702171700864196;0.790688275744265;6.159076583427925;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000336_rendered.png
82;82;589.137;597.844;0.839248;733.3910000000001;536.133;0.632858;739.298;506.81;0.501005;786.427;765.765;0.08564839999999999;0.0;0.0;0.0;721.5980000000001;568.49;0.67194;786.477;768.799;0.846658;759.8810000000001;951.067;0.8356959999999999;1074.84;639.178;0.463581;1048.35;650.941;0.287481;962.99;860.008;0.806718;1233.76;862.84;0.7682100000000001;1095.41;636.1990000000001;0.508948;980.627;924.696;0.779758;1257.2;892.337;0.710029;0.0;0.0;0.0;574.448;574.342;0.934176;0.0;0.0;0.0;603.927;521.422;0.85596;1351.36;924.597;0.60623;1351.38;909.99;0.502528;1277.84;877.546;0.348727;1354.35;918.7560000000001;0.266374;1348.52;918.828;0.25707399999999997;1260.23;845.2560000000001;0.586611;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000606_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000606_rendered.png;0.03916062246874048;2.872149639378639;0.13947141330782326;0.5061070103061858;0.10103234170119113;0.018383703363421655;0.1917482900232576;0.11992267670310816;4.7973833827940195;0.1917482900232576;2.6021735997175193;0.03676740672684331;0.8480925795574644;0.92;1.0;0.9838975402913639;0.35959735348631744;0.9803676740672684;0.35959735348631744;0.9571400912560999;0.8911913993849394;2.4060882643335706;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000606_rendered.png;;
100;100;618.6;606.7669999999999;0.8469549999999999;753.998;527.436;0.613242;765.735;503.81;0.45932799999999996;809.81;647.977;0.180464;801.018;765.7360000000001;0.157324;739.258;550.957;0.7057770000000001;792.3430000000001;777.5269999999999;0.79062;762.64;951.074;0.8640760000000001;1095.46;609.76;0.47829499999999997;1092.47;615.617;0.264763;1092.48;865.788;0.437277;1348.48;833.332;0.775574;1098.38;606.855;0.49579700000000004;1110.07;927.738;0.756023;1398.58;904.015;0.796667;0.0;0.0;0.0;600.951;586.265;0.8891680000000001;0.0;0.0;0.0;633.33;536.12;0.82621;1483.91;924.6080000000001;0.585544;1483.93;909.923;0.497683;1407.35;886.383;0.410438;1401.63;877.6289999999999;0.221349;0.0;0.0;0.0;1372.07;812.775;0.5338649999999999;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000714_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000714_rendered.png;0.045913404499505296;2.8389372112342834;0.22271902368515306;0.5864135478930348;0.18262102573900196;0.034478447218819874;0.26259644787704195;0.1399609786709968;4.0509334838475795;0.26259644787704195;2.983824403180691;0.06895689443764001;0.8488084671129772;0.92;1.0;0.9841304444573606;0.3563748010671343;0.9806895689443763;0.3563748010671343;0.9573679083084783;0.8868227941214156;3.3946672390194244;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000714_rendered.png;
191;191;624.566;547.976;0.891172;789.2660000000001;527.399;0.694567;789.289;500.819;0.517874;0.0;0.0;0.0;0.0;0.0;0.0;786.453;553.863;0.708151;809.765;783.303;0.835216;762.685;951.2610000000001;0.870215;1142.52;621.505;0.44653999999999994;1124.81;636.212;0.233852;1113.03;862.846;0.432903;1372.07;854.068;0.739468;1154.24;621.498;0.457863;1118.84;927.546;0.832642;1392.71;904.076;0.809828;0.0;0.0;0.0;621.66;527.2959999999999;0.9352729999999999;0.0;0.0;0.0;671.671;495.00300000000004;0.871942;1495.65;933.578;0.507598;1495.71;927.6010000000001;0.429083;1404.41;898.201;0.435355;1495.61;936.4830000000001;0.11108699999999999;1489.76;933.488;0.10413299999999999;1395.55;836.4019999999999;0.6762060000000001;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001260_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001260_rendered.png;0.05118861193085625;2.7996304104804484;0.2358801802895883;0.6218449843193792;0.14817426768310293;0.03957135478075047;0.2813231408211932;0.14881018467440282;4.033057933513057;0.2813231408211932;3.219264101952221;0.07914270956150089;0.8418801777062944;0.84;1.0;0.9840532554258271;0.3396221412645978;0.980791427095615;0.3396221412645978;0.9551514623205707;0.8244598904700009;3.6245123519967684;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001260_rendered.png;;
200;200;653.9580000000001;624.581;0.809658;762.7610000000001;533.216;0.61279;753.95;506.72;0.406402;0.0;0.0;0.0;0.0;0.0;0.0;765.635;556.764;0.722355;792.328;780.4739999999999;0.812318;759.835;951.258;0.8429549999999999;1115.98;615.596;0.506131;1098.37;624.4830000000001;0.307422;1095.39;862.882;0.487737;1371.99;853.9580000000001;0.733993;1121.96;609.74;0.536747;1116.06;927.6080000000001;0.8222450000000001;1392.7;904.145;0.822283;0.0;0.0;0.0;642.159;612.636;0.848873;0.0;0.0;0.0;648.175;553.765;0.8938229999999999;1489.8;930.63;0.525338;1492.67;924.663;0.42691599999999996;1401.61;898.237;0.470359;1433.91;886.362;0.0601404;0.0;0.0;0.0;1392.67;836.378;0.666137;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001314_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001314_rendered.png;0.0026920628290463453;0.12228903400495329;0.003082751265332695;0.032419457344093044;9.05085155303853e-05;2.4911692513729378e-05;0.007058568199518046;0.0028189868801900193;0.4512975797941261;0.007058568199518046;0.1352348563446904;4.982338502724743e-05;0.8339271545089317;0.8;1.0;0.9833455892083082;0.33451743084116414;0.9800004982338503;0.33451743084116414;0.9525747545297104;0.7858403809244451;3.423037931781743;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001314_rendered.png;
239;239;904.172;503.75300000000004;0.386327;907.018;362.49699999999996;0.404798;833.3960000000001;383.142;0.288566;836.3860000000001;556.8380000000001;0.80593;795.182;742.326;0.8434729999999999;998.178;344.876;0.471404;1021.84;624.592;0.7750060000000001;962.934;839.346;0.801154;1186.65;386.00699999999995;0.568673;1127.81;394.92800000000005;0.489336;1098.36;665.561;0.758091;1304.32;571.475;0.756864;1242.57;380.208;0.5013310000000001;1227.84;706.84;0.76661;1410.36;624.611;0.778982;0.0;0.0;0.0;907.0189999999999;483.314;0.239958;0.0;0.0;0.0;907.0310000000001;421.435;0.131414;1469.25;645.106;0.60225;1469.23;630.395;0.6184029999999999;1421.99;601.016;0.6023270000000001;1374.95;600.988;0.281879;0.0;0.0;0.0;1313.17;553.743;0.675214;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001548_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001548_rendered.png;0.2213477901751179;14.386931605620475;0.22969568208677205;2.5965242999748495;0.4797319205311673;0.155399383463668;0.5574932886836719;0.3135031211593894;7.477018393442723;0.5574932886836719;8.042681945330838;0.3107987669273359;0.8559994373611907;0.88;1.0;0.9859330098337608;0.33448023943820526;0.9831079876692733;0.33448023943820526;0.9596410788225069;0.8641317806602559;2.5183694509823464;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001548_rendered.png
