,Method,Base_Base,Base_Test1,Image1,Image2
0,0.0,1.0,0.9997891415100685,youtube_timecode_000000034140_rendered.png,youtube_timecode_000000034146_rendered.png
1,1.0,0.0,0.05722738841462179,youtube_timecode_000000034140_rendered.png,youtube_timecode_000000034146_rendered.png
2,2.0,6.887377584758724,6.736487181764915,youtube_timecode_000000034140_rendered.png,youtube_timecode_000000034146_rendered.png
3,3.0,0.0,0.03424072398989507,youtube_timecode_000000034140_rendered.png,youtube_timecode_000000034146_rendered.png
4,0.0,1.0,0.9997309488756522,youtube_timecode_000000034146_rendered.png,youtube_timecode_000000034152_rendered.png
5,1.0,0.0,0.08112872089797353,youtube_timecode_000000034146_rendered.png,youtube_timecode_000000034152_rendered.png
6,2.0,6.876431663188214,6.715354725611178,youtube_timecode_000000034146_rendered.png,youtube_timecode_000000034152_rendered.png
7,3.0,1.0536712127723509e-08,0.03897588181603587,youtube_timecode_000000034146_rendered.png,youtube_timecode_000000034152_rendered.png
8,0.0,1.0,0.9998529786772303,youtube_timecode_000000034152_rendered.png,youtube_timecode_000000034158_rendered.png
9,1.0,0.0,0.07017612646011767,youtube_timecode_000000034152_rendered.png,youtube_timecode_000000034158_rendered.png
10,2.0,6.877355333853757,6.7617731861118955,youtube_timecode_000000034152_rendered.png,youtube_timecode_000000034158_rendered.png
11,3.0,0.0,0.034244238980488347,youtube_timecode_000000034152_rendered.png,youtube_timecode_000000034158_rendered.png
12,0.0,1.0,0.9999150655317557,youtube_timecode_000000034158_rendered.png,youtube_timecode_000000034164_rendered.png
13,1.0,0.0,0.10252682871482069,youtube_timecode_000000034158_rendered.png,youtube_timecode_000000034164_rendered.png
14,2.0,6.917464830491554,6.8205752355361255,youtube_timecode_000000034158_rendered.png,youtube_timecode_000000034164_rendered.png
15,3.0,0.0,0.027458130357094466,youtube_timecode_000000034158_rendered.png,youtube_timecode_000000034164_rendered.png
16,0.0,1.0,0.9998453338850559,youtube_timecode_000000034164_rendered.png,youtube_timecode_000000034170_rendered.png
17,1.0,0.0,0.08818127510459427,youtube_timecode_000000034164_rendered.png,youtube_timecode_000000034170_rendered.png
18,2.0,6.9276044236830785,6.785624712721983,youtube_timecode_000000034164_rendered.png,youtube_timecode_000000034170_rendered.png
19,3.0,0.0,0.036221605581121565,youtube_timecode_000000034164_rendered.png,youtube_timecode_000000034170_rendered.png
20,0.0,1.0,0.33392837478461607,youtube_timecode_000000034170_rendered.png,youtube_timecode_000000034176_rendered.png
21,1.0,0.0,3248.256866239504,youtube_timecode_000000034170_rendered.png,youtube_timecode_000000034176_rendered.png
22,2.0,6.902698455211066,3.32273691894261,youtube_timecode_000000034170_rendered.png,youtube_timecode_000000034176_rendered.png
23,3.0,0.0,0.6546463088966252,youtube_timecode_000000034170_rendered.png,youtube_timecode_000000034176_rendered.png
24,0.0,1.0,0.9899627215237569,youtube_timecode_000000034176_rendered.png,youtube_timecode_000000034182_rendered.png
25,1.0,0.0,3.546360616578695,youtube_timecode_000000034176_rendered.png,youtube_timecode_000000034182_rendered.png
26,2.0,27.095522874582457,24.99176050646747,youtube_timecode_000000034176_rendered.png,youtube_timecode_000000034182_rendered.png
27,3.0,1.0536712127723509e-08,0.09144879684364336,youtube_timecode_000000034176_rendered.png,youtube_timecode_000000034182_rendered.png
28,0.0,1.0,0.9641838394982382,youtube_timecode_000000034182_rendered.png,youtube_timecode_000000034188_rendered.png
29,1.0,0.0,8.93834518453174,youtube_timecode_000000034182_rendered.png,youtube_timecode_000000034188_rendered.png
30,2.0,27.12502889634925,24.787134993508516,youtube_timecode_000000034182_rendered.png,youtube_timecode_000000034188_rendered.png
31,3.0,0.0,0.1406543521843066,youtube_timecode_000000034182_rendered.png,youtube_timecode_000000034188_rendered.png
32,0.0,1.0,0.9929645813640562,youtube_timecode_000000034188_rendered.png,youtube_timecode_000000034194_rendered.png
33,1.0,0.0,1.823734199167054,youtube_timecode_000000034188_rendered.png,youtube_timecode_000000034194_rendered.png
34,2.0,30.508474638289044,29.517046414359356,youtube_timecode_000000034188_rendered.png,youtube_timecode_000000034194_rendered.png
35,3.0,0.0,0.07103989216620382,youtube_timecode_000000034188_rendered.png,youtube_timecode_000000034194_rendered.png
36,0.0,1.0,0.9784860106361132,youtube_timecode_000000034194_rendered.png,youtube_timecode_000000034200_rendered.png
37,1.0,0.0,5.134678681103753,youtube_timecode_000000034194_rendered.png,youtube_timecode_000000034200_rendered.png
38,2.0,33.29239296290325,29.703682330611628,youtube_timecode_000000034194_rendered.png,youtube_timecode_000000034200_rendered.png
39,3.0,0.0,0.12794119142930777,youtube_timecode_000000034194_rendered.png,youtube_timecode_000000034200_rendered.png
40,0.0,1.0,0.9901790344727559,youtube_timecode_000000034200_rendered.png,youtube_timecode_000000034206_rendered.png
41,1.0,0.0,284.7981526097874,youtube_timecode_000000034200_rendered.png,youtube_timecode_000000034206_rendered.png
42,2.0,33.35987750118147,31.647278343218204,youtube_timecode_000000034200_rendered.png,youtube_timecode_000000034206_rendered.png
43,3.0,0.0,0.09200410915821179,youtube_timecode_000000034200_rendered.png,youtube_timecode_000000034206_rendered.png
44,0.0,1.0,0.9842504262968911,youtube_timecode_000000034206_rendered.png,youtube_timecode_000000034212_rendered.png
45,1.0,0.0,3.6869164803098116,youtube_timecode_000000034206_rendered.png,youtube_timecode_000000034212_rendered.png
46,2.0,35.16751858438147,32.557560082434065,youtube_timecode_000000034206_rendered.png,youtube_timecode_000000034212_rendered.png
47,3.0,0.0,0.1080383567131371,youtube_timecode_000000034206_rendered.png,youtube_timecode_000000034212_rendered.png
48,0.0,1.0,0.9843290187647724,youtube_timecode_000000034212_rendered.png,youtube_timecode_000000034218_rendered.png
49,1.0,0.0,3.2467700692756645,youtube_timecode_000000034212_rendered.png,youtube_timecode_000000034218_rendered.png
50,2.0,36.59466172910106,33.02967387625904,youtube_timecode_000000034212_rendered.png,youtube_timecode_000000034218_rendered.png
