,Method,Base_Base,Base_Test1,Image1,Image2
0,0.0,1.0,0.9995396116231151,youtube_timecode_000000044268_rendered.png,youtube_timecode_000000044274_rendered.png
1,1.0,0.0,0.09355332681085585,youtube_timecode_000000044268_rendered.png,youtube_timecode_000000044274_rendered.png
2,2.0,17.848013552058546,17.579864253885717,youtube_timecode_000000044268_rendered.png,youtube_timecode_000000044274_rendered.png
3,3.0,0.0,0.02503634390411785,youtube_timecode_000000044268_rendered.png,youtube_timecode_000000044274_rendered.png
4,0.0,1.0,0.9993969580515141,youtube_timecode_000000044274_rendered.png,youtube_timecode_000000044280_rendered.png
5,1.0,0.0,0.1602848595417547,youtube_timecode_000000044274_rendered.png,youtube_timecode_000000044280_rendered.png
6,2.0,18.00453239529361,17.683831166204982,youtube_timecode_000000044274_rendered.png,youtube_timecode_000000044280_rendered.png
7,3.0,0.0,0.032024343701789595,youtube_timecode_000000044274_rendered.png,youtube_timecode_000000044280_rendered.png
8,0.0,1.0,0.9995171129534822,youtube_timecode_000000044280_rendered.png,youtube_timecode_000000044286_rendered.png
9,1.0,0.0,0.11527492680329339,youtube_timecode_000000044280_rendered.png,youtube_timecode_000000044286_rendered.png
10,2.0,18.243884935916867,17.6137917173628,youtube_timecode_000000044280_rendered.png,youtube_timecode_000000044286_rendered.png
11,3.0,0.0,0.027094734382622693,youtube_timecode_000000044280_rendered.png,youtube_timecode_000000044286_rendered.png
12,0.0,1.0,0.9990204278016002,youtube_timecode_000000044286_rendered.png,youtube_timecode_000000044292_rendered.png
13,1.0,0.0,0.1691241371993109,youtube_timecode_000000044286_rendered.png,youtube_timecode_000000044292_rendered.png
14,2.0,17.817187990285674,17.406790547866876,youtube_timecode_000000044286_rendered.png,youtube_timecode_000000044292_rendered.png
15,3.0,1.0536712127723509e-08,0.03492843273422104,youtube_timecode_000000044286_rendered.png,youtube_timecode_000000044292_rendered.png
16,0.0,1.0,0.999094829696434,youtube_timecode_000000044292_rendered.png,youtube_timecode_000000044298_rendered.png
17,1.0,0.0,0.2003323412335066,youtube_timecode_000000044292_rendered.png,youtube_timecode_000000044298_rendered.png
18,2.0,18.04856880502666,17.833260442748724,youtube_timecode_000000044292_rendered.png,youtube_timecode_000000044298_rendered.png
19,3.0,0.0,0.031445900735471835,youtube_timecode_000000044292_rendered.png,youtube_timecode_000000044298_rendered.png
20,0.0,1.0,0.9995259611366921,youtube_timecode_000000044298_rendered.png,youtube_timecode_000000044304_rendered.png
21,1.0,0.0,0.1194549762671616,youtube_timecode_000000044298_rendered.png,youtube_timecode_000000044304_rendered.png
22,2.0,18.683773853272214,17.862334688164992,youtube_timecode_000000044298_rendered.png,youtube_timecode_000000044304_rendered.png
23,3.0,0.0,0.026609207552794275,youtube_timecode_000000044298_rendered.png,youtube_timecode_000000044304_rendered.png
24,0.0,1.0,0.9990987393249952,youtube_timecode_000000044304_rendered.png,youtube_timecode_000000044310_rendered.png
25,1.0,0.0,0.3080883895489154,youtube_timecode_000000044304_rendered.png,youtube_timecode_000000044310_rendered.png
26,2.0,18.023310475029575,17.536712272012664,youtube_timecode_000000044304_rendered.png,youtube_timecode_000000044310_rendered.png
27,3.0,0.0,0.03847124548062,youtube_timecode_000000044304_rendered.png,youtube_timecode_000000044310_rendered.png
28,0.0,1.0,0.998199776036171,youtube_timecode_000000044310_rendered.png,youtube_timecode_000000044316_rendered.png
29,1.0,0.0,1.5187347377773992,youtube_timecode_000000044310_rendered.png,youtube_timecode_000000044316_rendered.png
30,2.0,17.933683590978035,17.323224348799158,youtube_timecode_000000044310_rendered.png,youtube_timecode_000000044316_rendered.png
31,3.0,0.0,0.05412162121100984,youtube_timecode_000000044310_rendered.png,youtube_timecode_000000044316_rendered.png
32,0.0,1.0,0.998150415831327,youtube_timecode_000000044316_rendered.png,youtube_timecode_000000044322_rendered.png
33,1.0,0.0,0.3284604602233421,youtube_timecode_000000044316_rendered.png,youtube_timecode_000000044322_rendered.png
