;Unnamed;Nose_X;Nose_Y;Nose_Conf;Neck_X;Neck_Y;Neck_Conf;Rshoulder_X;Rshoulder_Y;Rshoulder_Conf;Relbow_X;Relbow_Y;Relbow_Conf;Rwrist_X;Rwrist_Y;Rwrist_Conf;Lshoulder_X;Lshoulder_Y;Lshoulder_Conf;Lelbow_X;Lelbow_Y;Lelbow_Conf;Lwrist_X;Lwrist_Y;Lwrist_Conf;MidHip_X;MidHip_Y;MidHip_Conf;Rhip_X;Rhip_Y;Rhip_Conf;Rknee_X;Rknee_Y;Rknee_Conf;Rankle_X;Rankle_Y;Rankle_Conf;Lhip_X;Lhip_Y;Lhip_Conf;Lknee_X;Lknee_Y;Lknee_Conf;Lankle_X;Lankle_Y;Lankle_Conf;Reye_X;Reye_Y;Reye_Conf;Leye_X;Leye_Y;Leye_Conf;Rear_X;Rear_Y;Rear_Conf;Lear_X;Lear_Y;Lear_Conf;Lbigtoe_X;Lbigtoe_Y;Lbigtoe_Conf;Lsmalltoe_X;Lsmalltoe_Y;Lsmalltoe_Conf;Lheel_X;Lheel_Y;Lheel_Conf;Rbigtoe_X;Rbigtoe_Y;Rbigtoe_Conf;Rsmalltoe_X;Rsmalltoe_Y;Rsmalltoe_Conf;Rheel_X;Rheel_Y;Rheel_Conf;Filename;Imagename;braycurtis;canberra;chebyshev;cityblock;correlation;cosine;euclidean;jensenshannon;mahalanobis;minkowski;seuclidean;sqeuclidean;dice;hamming;jaccard;kulsinski;rogerstanimoto;russellrao;sokalmichener;sokalsneath;yule;mahalanobis_minpeak;MahalanobisSummary;UnifSamplBaseline;SBDBaseline
0;0;1142.55;409.751;0.9416559999999999;1168.93;550.88;0.803517;1139.51;527.431;0.782888;968.8389999999999;577.422;0.842742;804.044;536.135;0.7057939999999999;1198.43;574.375;0.720414;954.23;674.471;0.855857;786.255;592.097;0.7101390000000001;1009.99;815.8530000000001;0.47848199999999996;998.2860000000001;786.3560000000001;0.39429699999999995;854.052;550.966;0.640105;583.281;680.38;0.40491;1021.81;854.0310000000001;0.56487;856.955;565.552;0.58813;565.614;680.41;0.40829099999999996;1142.41;386.10699999999997;0.9801860000000001;1186.46;392.036;0.915926;0.0;0.0;0.0;1239.6;433.23900000000003;0.912842;500.834;592.0409999999999;0.50678;497.931;600.919;0.47308500000000003;562.615;715.7330000000001;0.302102;492.02099999999996;583.3290000000001;0.291546;503.654;589.161;0.249444;574.521;718.768;0.24431599999999998;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000044268_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000044268_rendered.png;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.482301159953978;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000044268_rendered.png;
89;89;689.2130000000001;418.405;0.846463;836.436;524.44;0.664879;862.84;506.704;0.458962;0.0;0.0;0.0;0.0;0.0;0.0;818.694;536.174;0.694153;836.433;780.414;0.829045;651.009;812.7330000000001;0.8321879999999999;806.951;845.243;0.484737;827.515;833.375;0.23604299999999998;0.0;0.0;0.0;0.0;0.0;0.0;801.05;871.684;0.5092260000000001;574.55;692.153;0.8877290000000001;545.007;880.617;0.790201;689.174;392.056;0.125194;700.9989999999999;392.064;0.8382209999999999;0.0;0.0;0.0;786.306;388.98199999999997;0.9434040000000001;433.19800000000004;886.467;0.67245;456.64599999999996;904.0939999999999;0.62147;559.703;898.178;0.72154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000044802_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000044802_rendered.png;0.01544114487226965;0.5062156929507128;0.015878870268938056;0.1746303971854986;0.0021834912249767413;0.000787746629386965;0.03969248365590375;0.013912140627285765;2.0874398464465234;0.03969248365590375;0.6402869874738752;0.0015754932587741864;0.823295584146746;0.68;1.0;0.9831530015623106;0.3139719933517746;0.9800157549325877;0.3139719933517746;0.949074875216321;0.7067628918091967;8.756627199051078;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000044802_rendered.png;;
100;100;1345.56;674.612;0.832997;1263.2;809.821;0.625468;1257.21;759.863;0.518519;1115.84;718.678;0.7528090000000001;1086.58;642.08;0.410149;1269.08;857.048;0.5851310000000001;1068.82;812.93;0.854176;1083.59;633.349;0.725364;974.703;836.41;0.126628;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1372.08;674.4580000000001;0.20228800000000002;1375.07;692.2739999999999;0.959096;0.0;0.0;0.0;1389.73;765.799;0.8415940000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000044868_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000044868_rendered.png;0.17072834501017187;9.324234112138685;0.17882694926343373;1.74281730148462;0.20085305934484832;0.10610650742405636;0.46066583859465077;0.29368693608828594;12.416018666378195;0.46066583859465077;8.675816186731273;0.21221301484811284;0.8248663741485127;0.64;1.0;0.9846989347884296;0.2882675241904894;0.9821221301484812;0.2882675241904894;0.9495960196616228;0.6518902369472901;7.644642608351108;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000044868_rendered.png;
193;193;1401.56;739.3589999999999;0.912868;1304.45;815.8580000000001;0.686504;1263.25;768.727;0.534115;0.0;0.0;0.0;0.0;0.0;0.0;1348.47;877.5010000000001;0.5982149999999999;1525.1;927.538;0.875232;1424.97;904.187;0.119495;971.7239999999999;809.8389999999999;0.318658;968.823;848.1469999999999;0.309775;597.9119999999999;815.78;0.4599;336.038;833.5169999999999;0.673126;977.6410000000001;765.7660000000001;0.271187;595.006;860.0089999999999;0.488051;256.54900000000004;904.052;0.554793;1425.06;742.297;0.32621700000000003;1427.96;762.91;0.865109;0.0;0.0;0.0;1422.12;839.3939999999999;0.8994690000000001;162.387;859.909;0.433572;174.03099999999998;874.5980000000001;0.44486400000000004;238.921;906.9860000000001;0.275127;247.81099999999998;765.7719999999999;0.5931069999999999;253.636;765.7510000000001;0.531337;318.297;845.201;0.538552;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000045426_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000045426_rendered.png;0.05124050735800935;2.817623721212556;0.23496248067104647;0.6152810463178234;0.1389118449309259;0.03950443366048473;0.2810851602645889;0.14969340794968466;5.6721346225868405;0.2810851602645889;4.1786910030583035;0.07900886732096962;0.8400201649997435;0.88;1.0;0.9840148435860012;0.3357386567728974;0.9807900886732096;0.3357386567728974;0.9545519643121102;0.8092987366843774;2.1374982750785745;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000045426_rendered.png;;
200;200;1398.44;742.07;0.8888940000000001;1310.21;830.414;0.677686;1280.72;780.477;0.5490229999999999;0.0;0.0;0.0;0.0;0.0;0.0;1351.35;883.502;0.637992;1516.21;962.9060000000001;0.772578;1445.7;886.502;0.396809;971.805;809.837;0.379907;971.7560000000001;851.079;0.34326799999999996;595.052;815.789;0.473045;335.99199999999996;833.534;0.675941;980.64;765.808;0.31916100000000003;592.0980000000001;860.008;0.49935799999999997;253.61900000000003;904.077;0.5349689999999999;1422.06;742.2510000000001;0.3199;1424.93;765.7280000000001;0.9101549999999999;0.0;0.0;0.0;1425.0;842.283;0.846308;159.472;859.873;0.43486099999999994;171.22;871.7230000000001;0.444812;233.018;906.9889999999999;0.25050100000000003;247.796;765.765;0.593539;253.61900000000003;765.747;0.5338970000000001;318.28700000000003;845.225;0.542083;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000045468_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000045468_rendered.png;0.0009528727802260891;0.04122050542739207;0.0012971473324908667;0.01158214091577962;1.165703379024663e-05;3.0574016131046378e-06;0.0024728128166542065;0.0009073648324601393;0.21273311634141068;0.0024728128166542065;0.04797366203822334;6.114803226209309e-06;0.8354587681430962;0.88;1.0;0.9833763224223396;0.3376271596925555;0.9800000611480323;0.3376271596925555;0.9530737098442476;0.7978513463108962;3.0015078129876587;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000045468_rendered.png;
244;244;1495.55;409.537;0.886551;1410.31;521.466;0.556683;1348.49;474.35;0.391569;0.0;0.0;0.0;0.0;0.0;0.0;1486.81;577.3240000000001;0.45738999999999996;1566.39;597.93;0.222613;0.0;0.0;0.0;1080.69;686.263;0.09562530000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1498.57;397.884;0.325513;1536.8;430.15;0.846936;0.0;0.0;0.0;1542.84;515.614;0.855467;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000045732_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000045732_rendered.png;0.2638598211829795;10.403008856893802;0.2623278843724159;2.3032880342455697;0.21745830222527907;0.15168692919694593;0.5507938438235231;0.3394701732358543;12.802396950610602;0.5507938438235231;9.274536705776397;0.30337385839389164;0.8056380862130477;0.52;1.0;0.9851258175655839;0.24661637945347467;0.9830337385839389;0.24661637945347467;0.9431177082376189;0.5045528429225158;6.685371696482286;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000045732_rendered.png
300;300;1498.56;465.48900000000003;0.86165;1398.52;503.72900000000004;0.6044619999999999;1374.96;412.515;0.338429;1324.88;268.37;0.775084;1442.7;394.968;0.684177;1466.24;580.3240000000001;0.618737;1734.15;550.911;0.854547;1581.02;503.847;0.756003;1163.08;624.435;0.12405999999999999;1136.6;577.3530000000001;0.108556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1501.59;430.173;0.865735;1539.88;471.38;0.909905;1466.29;406.702;0.74871;1542.71;506.849;0.772051;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000046068_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000046068_rendered.png;0.0760567159439563;4.573346907624172;0.20624660425734123;0.7419863698791735;0.07522083450475059;0.04174813156298862;0.2889571994707475;0.19784399713535925;11.082432000211293;0.2889571994707475;5.289639067894067;0.08349626312597735;0.8035503262078862;0.64;1.0;0.9834324824771854;0.2710685918267376;0.9808349626312598;0.2710685918267376;0.9424011207762485;0.5593900134513561;7.8829156560942115;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000046068_rendered.png;
308;308;1330.74;365.36699999999996;0.9528700000000001;1354.46;509.723;0.635567;1283.72;477.335;0.6927989999999999;1254.3;359.60900000000004;0.741484;1330.87;403.70300000000003;0.19881300000000002;1442.7;550.911;0.452754;1451.59;344.88199999999995;0.511292;1375.08;335.98699999999997;0.210569;1115.96;680.395;0.306946;1065.96;633.322;0.243154;1218.99;291.91;0.219229;0.0;0.0;0.0;1174.88;706.9060000000001;0.337275;1027.77;294.77;0.740086;739.35;648.077;0.646137;1333.74;350.716;0.614129;1369.04;356.592;0.8355;0.0;0.0;0.0;1430.99;406.655;0.617185;598.043;633.308;0.567412;606.808;648.018;0.500419;742.197;689.206;0.497931;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000046116_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000046116_rendered.png;0.04221268817880111;2.8958588431089893;0.21022745806200027;0.4752022198066032;0.06783396146022469;0.025122700970192646;0.22415486151405523;0.1295599577362815;6.490850093916906;0.22415486151405523;3.458041841353007;0.05024540194038528;0.8268013501566338;0.8;1.0;0.9835623481565433;0.31387479636511;0.9805024540194038;0.31387479636511;0.9502360509493195;0.7173556185837819;7.47949231026926;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000046116_rendered.png;;
400;400;1398.41;394.852;0.8795940000000001;1336.69;506.805;0.730271;1254.3;480.11800000000005;0.6841;1139.56;315.30400000000003;0.6203960000000001;1325.01;391.991;0.746749;1424.98;547.913;0.6348779999999999;1642.89;397.791;0.702511;1492.69;459.671;0.34765100000000004;1107.16;653.909;0.239128;1048.32;642.1030000000001;0.18736;1112.96;241.815;0.0978948;0.0;0.0;0.0;1160.13;695.076;0.278634;924.585;385.962;0.655559;606.778;692.0880000000001;0.541758;1389.72;365.44300000000004;0.886808;1436.82;389.00300000000004;0.8956940000000001;1360.36;365.54900000000004;0.30440900000000004;1471.98;439.119;0.8625649999999999;512.62;648.0269999999999;0.434138;518.49;665.6160000000001;0.402493;594.988;730.3839999999999;0.372187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000046668_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000046668_rendered.png;0.13727368610021537;12.227263859332094;0.22690955449196396;1.6456489788636985;0.2903104448499625;0.08650570255275758;0.4159463969137313;0.26506120137049943;7.412978104992639;0.4159463969137313;5.1323391088440315;0.1730114051055153;0.8475996630475889;1.0;1.0;0.9848158642040815;0.337796323594958;0.9817301140510551;0.337796323594958;0.9569830697650484;0.8403462187354616;9.174956854145533;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000046668_rendered.png;
408;408;1327.75;777.49;0.856657;1286.78;809.794;0.759977;1271.99;724.5360000000001;0.654829;1186.65;606.826;0.818195;1333.89;715.549;0.7045560000000001;1307.32;874.579;0.639783;1454.52;818.673;0.700835;0.0;0.0;0.0;915.8439999999999;812.82;0.269923;895.2410000000001;812.835;0.157063;603.918;786.24;0.23491399999999998;338.912;780.421;0.37711500000000003;910.0139999999999;789.311;0.19758699999999998;618.568;780.451;0.39832399999999996;321.316;783.3739999999999;0.384033;1333.88;745.1010000000001;0.840017;1354.57;786.378;0.954303;1328.0;718.6239999999999;0.08889860000000001;1398.59;833.2810000000001;0.354862;253.66099999999997;686.2510000000001;0.27271799999999996;250.66400000000002;706.888;0.26916599999999996;297.763;789.414;0.400861;247.767;686.2639999999999;0.446927;250.72799999999998;689.188;0.386137;303.687;789.305;0.289961;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000046716_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000046716_rendered.png;0.23898510209169505;21.98595736214169;0.12927201278534695;2.7102070063937287;0.1346901875795753;0.10474785100257344;0.45770700454018315;0.3174544755875365;10.227103499398481;0.45770700454018315;7.342079593786062;0.2094957020051472;0.842113959766749;0.96;1.0;0.984966373861571;0.320738335533203;0.9820949570200515;0.320738335533203;0.9552266780597629;0.7720608417912506;8.447920599952525;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000046716_rendered.png
