,Method,Base_Base,Base_Test1,Image1,Image2
0,0.0,1.0,0.9998648851664077,youtube_timecode_000000028572_rendered.png,youtube_timecode_000000028578_rendered.png
1,1.0,0.0,0.03878269678349306,youtube_timecode_000000028572_rendered.png,youtube_timecode_000000028578_rendered.png
2,2.0,8.036243736821234,7.924703362222317,youtube_timecode_000000028572_rendered.png,youtube_timecode_000000028578_rendered.png
3,3.0,0.0,0.026666260916781058,youtube_timecode_000000028572_rendered.png,youtube_timecode_000000028578_rendered.png
4,0.0,1.0,0.999895903907381,youtube_timecode_000000028578_rendered.png,youtube_timecode_000000028584_rendered.png
5,1.0,0.0,0.02682891190355932,youtube_timecode_000000028578_rendered.png,youtube_timecode_000000028584_rendered.png
6,2.0,8.125742346369407,7.961391674055449,youtube_timecode_000000028578_rendered.png,youtube_timecode_000000028584_rendered.png
7,3.0,0.0,0.021302668717322813,youtube_timecode_000000028578_rendered.png,youtube_timecode_000000028584_rendered.png
8,0.0,1.0,0.9999144333370217,youtube_timecode_000000028584_rendered.png,youtube_timecode_000000028590_rendered.png
9,1.0,0.0,0.032564953280375286,youtube_timecode_000000028584_rendered.png,youtube_timecode_000000028590_rendered.png
10,2.0,8.046472084375637,7.949478797020674,youtube_timecode_000000028584_rendered.png,youtube_timecode_000000028590_rendered.png
11,3.0,0.0,0.019685144500157657,youtube_timecode_000000028584_rendered.png,youtube_timecode_000000028590_rendered.png
12,0.0,1.0,0.9999217457726907,youtube_timecode_000000028590_rendered.png,youtube_timecode_000000028596_rendered.png
13,1.0,0.0,0.024019919705754986,youtube_timecode_000000028590_rendered.png,youtube_timecode_000000028596_rendered.png
14,2.0,8.066034767821748,7.911628348218528,youtube_timecode_000000028590_rendered.png,youtube_timecode_000000028596_rendered.png
15,3.0,0.0,0.01888241952788922,youtube_timecode_000000028590_rendered.png,youtube_timecode_000000028596_rendered.png
16,0.0,1.0,0.9998072515781078,youtube_timecode_000000028596_rendered.png,youtube_timecode_000000028602_rendered.png
17,1.0,0.0,0.037306010015462826,youtube_timecode_000000028596_rendered.png,youtube_timecode_000000028602_rendered.png
18,2.0,7.974587108496053,7.828082774205086,youtube_timecode_000000028596_rendered.png,youtube_timecode_000000028602_rendered.png
19,3.0,1.0536712127723509e-08,0.028078317456157357,youtube_timecode_000000028596_rendered.png,youtube_timecode_000000028602_rendered.png
20,0.0,1.0,0.9997947747933639,youtube_timecode_000000028602_rendered.png,youtube_timecode_000000028608_rendered.png
21,1.0,0.0,0.05225475812646434,youtube_timecode_000000028602_rendered.png,youtube_timecode_000000028608_rendered.png
22,2.0,7.947172292005689,7.863068779724927,youtube_timecode_000000028602_rendered.png,youtube_timecode_000000028608_rendered.png
23,3.0,0.0,0.02607243688762631,youtube_timecode_000000028602_rendered.png,youtube_timecode_000000028608_rendered.png
24,0.0,1.0,0.9999095720006654,youtube_timecode_000000028608_rendered.png,youtube_timecode_000000028614_rendered.png
25,1.0,0.0,0.029326283704865265,youtube_timecode_000000028608_rendered.png,youtube_timecode_000000028614_rendered.png
26,2.0,8.14895722023357,8.033067674337417,youtube_timecode_000000028608_rendered.png,youtube_timecode_000000028614_rendered.png
27,3.0,0.0,0.01945626125808423,youtube_timecode_000000028608_rendered.png,youtube_timecode_000000028614_rendered.png
28,0.0,1.0,0.9999260355485797,youtube_timecode_000000028614_rendered.png,youtube_timecode_000000028620_rendered.png
29,1.0,0.0,2.108864580132163,youtube_timecode_000000028614_rendered.png,youtube_timecode_000000028620_rendered.png
30,2.0,8.146140542991816,8.0636974272702,youtube_timecode_000000028614_rendered.png,youtube_timecode_000000028620_rendered.png
31,3.0,0.0,0.021554818233164023,youtube_timecode_000000028614_rendered.png,youtube_timecode_000000028620_rendered.png
32,0.0,1.0,0.9997540142180462,youtube_timecode_000000028620_rendered.png,youtube_timecode_000000028626_rendered.png
33,1.0,0.0,8.247665863268018,youtube_timecode_000000028620_rendered.png,youtube_timecode_000000028626_rendered.png
34,2.0,8.192032689895314,8.091432144733062,youtube_timecode_000000028620_rendered.png,youtube_timecode_000000028626_rendered.png
35,3.0,0.0,0.04103541436091214,youtube_timecode_000000028620_rendered.png,youtube_timecode_000000028626_rendered.png
36,0.0,1.0,0.999767792055496,youtube_timecode_000000028626_rendered.png,youtube_timecode_000000028632_rendered.png
37,1.0,0.0,0.16314865700070474,youtube_timecode_000000028626_rendered.png,youtube_timecode_000000028632_rendered.png
38,2.0,8.28320131275268,8.120677191011964,youtube_timecode_000000028626_rendered.png,youtube_timecode_000000028632_rendered.png
39,3.0,0.0,0.04200627287544647,youtube_timecode_000000028626_rendered.png,youtube_timecode_000000028632_rendered.png
40,0.0,1.0,0.9998547585283196,youtube_timecode_000000028632_rendered.png,youtube_timecode_000000028638_rendered.png
41,1.0,0.0,0.027164129486741767,youtube_timecode_000000028632_rendered.png,youtube_timecode_000000028638_rendered.png
42,2.0,8.221100542996282,8.03758885902107,youtube_timecode_000000028632_rendered.png,youtube_timecode_000000028638_rendered.png
43,3.0,0.0,0.0204053726884737,youtube_timecode_000000028632_rendered.png,youtube_timecode_000000028638_rendered.png
44,0.0,1.0,0.999719565842776,youtube_timecode_000000028638_rendered.png,youtube_timecode_000000028644_rendered.png
45,1.0,0.0,0.043889657056925394,youtube_timecode_000000028638_rendered.png,youtube_timecode_000000028644_rendered.png
46,2.0,8.111215977529355,7.823405450580822,youtube_timecode_000000028638_rendered.png,youtube_timecode_000000028644_rendered.png
47,3.0,0.0,0.024095622681215154,youtube_timecode_000000028638_rendered.png,youtube_timecode_000000028644_rendered.png
