;Unnamed;Nose_X;Nose_Y;Nose_Conf;Neck_X;Neck_Y;Neck_Conf;Rshoulder_X;Rshoulder_Y;Rshoulder_Conf;Relbow_X;Relbow_Y;Relbow_Conf;Rwrist_X;Rwrist_Y;Rwrist_Conf;Lshoulder_X;Lshoulder_Y;Lshoulder_Conf;Lelbow_X;Lelbow_Y;Lelbow_Conf;Lwrist_X;Lwrist_Y;Lwrist_Conf;MidHip_X;MidHip_Y;MidHip_Conf;Rhip_X;Rhip_Y;Rhip_Conf;Rknee_X;Rknee_Y;Rknee_Conf;Rankle_X;Rankle_Y;Rankle_Conf;Lhip_X;Lhip_Y;Lhip_Conf;Lknee_X;Lknee_Y;Lknee_Conf;Lankle_X;Lankle_Y;Lankle_Conf;Reye_X;Reye_Y;Reye_Conf;Leye_X;Leye_Y;Leye_Conf;Rear_X;Rear_Y;Rear_Conf;Lear_X;Lear_Y;Lear_Conf;Lbigtoe_X;Lbigtoe_Y;Lbigtoe_Conf;Lsmalltoe_X;Lsmalltoe_Y;Lsmalltoe_Conf;Lheel_X;Lheel_Y;Lheel_Conf;Rbigtoe_X;Rbigtoe_Y;Rbigtoe_Conf;Rsmalltoe_X;Rsmalltoe_Y;Rsmalltoe_Conf;Rheel_X;Rheel_Y;Rheel_Conf;Filename;Imagename;braycurtis;canberra;chebyshev;cityblock;correlation;cosine;euclidean;jensenshannon;mahalanobis;minkowski;seuclidean;sqeuclidean;dice;hamming;jaccard;kulsinski;rogerstanimoto;russellrao;sokalmichener;sokalsneath;yule;mahalanobis_minpeak;MahalanobisSummary;UnifSamplBaseline;SBDBaseline
0;0;1057.1;436.19199999999995;0.796766;1251.39;859.954;0.49938299999999997;977.674;771.687;0.552652;836.4739999999999;1074.87;0.081701;0.0;0.0;0.0;1513.34;930.5360000000001;0.267334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1060.11;365.543;0.7619090000000001;1163.19;386.027;0.8632559999999999;0.0;0.0;0.0;1386.79;450.838;0.760962;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000028164_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000028164_rendered.png;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9284682779803702;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000028164_rendered.png;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000028164_rendered.png
9;9;1030.67;238.953;0.8517030000000001;1098.39;350.704;0.72428;1086.51;344.811;0.6283489999999999;0.0;0.0;0.0;0.0;0.0;0.0;1116.09;359.50699999999995;0.848794;1183.63;500.881;0.886041;1115.95;598.05;0.9180590000000001;1077.72;621.581;0.722318;1042.32;612.715;0.687329;886.452;730.413;0.820702;845.2080000000001;909.9169999999999;0.802656;1118.88;630.413;0.692767;1227.81;810.01;0.775137;1354.43;960.06;0.786593;0.0;0.0;0.0;1048.28;221.308;0.942275;0.0;0.0;0.0;1098.39;244.628;0.880627;1286.79;1001.33;0.709906;1316.11;1007.04;0.642609;1377.9;974.7439999999999;0.793974;765.69;936.4019999999999;0.698448;768.79;927.715;0.659525;857.0360000000001;930.5830000000001;0.828573;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000028218_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000028218_rendered.png;0.7213237070522722;38.7818913657131;0.28269651796430584;7.107790816691134;1.1559650846038076;0.608934967122602;1.1035714450116965;0.6573246454057615;9.923444365159078;1.1035714450116965;14.929647675621188;1.217869934245204;0.9206266795158833;0.92;1.0;0.9933798226821915;0.3071415848412188;0.992178699342452;0.3071415848412188;0.9789006242435203;1.0952924513644056;1.137690322449525;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000028218_rendered.png
37;37;974.564;315.353;0.903292;1051.34;391.907;0.8035479999999999;1021.67;389.154;0.799419;1021.73;503.76599999999996;0.053416;0.0;0.0;0.0;1092.31;392.037;0.8059189999999999;1177.77;533.239;0.8366370000000001;1092.5;624.6080000000001;0.894702;1039.44;650.969;0.685427;992.3839999999999;645.1709999999999;0.677864;815.8;724.4889999999999;0.8391850000000001;804.0310000000001;910.008;0.787933;1086.52;659.7860000000001;0.638672;1210.15;812.8380000000001;0.810474;1354.3;959.972;0.8127260000000001;974.65;292.048;0.0649363;977.7689999999999;294.732;0.933599;0.0;0.0;0.0;1039.5;291.908;0.9220280000000001;1292.58;1004.14;0.699608;1321.98;1007.08;0.658818;1375.07;974.676;0.8110430000000001;727.438;933.5110000000001;0.685405;730.443;927.596;0.629173;812.873;930.618;0.8249209999999999;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000028386_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000028386_rendered.png;0.003774706987169948;0.2526288647592423;0.004070950521697023;0.04834379387363511;0.00020486062572511177;4.5452019489578e-05;0.009534360963333459;0.004485265840894606;0.3431635181517758;0.009534360963333459;0.15756504519781098;9.09040389791369e-05;0.8438461230833234;0.92;1.0;0.9835553773858581;0.3554629910576355;0.9800009090403898;0.3554629910576355;0.9557830439345217;0.8665833850991047;1.7376335815160375;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000028386_rendered.png;;
100;100;1027.77;271.28;0.61738;1092.37;368.36199999999997;0.610679;1051.31;380.207;0.39773400000000003;0.0;0.0;0.0;0.0;0.0;0.0;1116.11;362.555;0.7292529999999999;1033.55;185.979;0.780932;1027.69;35.7772;0.835694;1065.98;636.252;0.653516;1021.81;627.415;0.675687;859.822;736.2719999999999;0.864994;818.682;909.992;0.811906;1107.2;644.9730000000001;0.619478;1216.04;812.7360000000001;0.803732;1354.33;957.16;0.822466;1030.6;265.347;0.06580880000000001;1048.4;253.58900000000003;0.41024499999999997;0.0;0.0;0.0;1095.28;253.627;0.8821030000000001;1298.43;1004.2;0.700752;1324.92;1007.1;0.690566;1375.12;974.6260000000001;0.825125;742.1419999999999;939.3539999999999;0.695725;745.2289999999999;930.5160000000001;0.662501;833.433;930.587;0.818102;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000028764_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000028764_rendered.png;0.000827395428343664;0.07963655460168338;0.0009098689886028466;0.010168481659515569;1.0034634390088115e-05;2.4593465032252126e-06;0.0022178126625548877;0.0012278223623105287;0.10448585898682002;0.0022178126625548877;0.029055519833142755;4.918693006188801e-06;0.8372631389431984;0.88;1.0;0.9834134743426562;0.3413433550542021;0.9800000491869301;0.3413433550542021;0.953659846380049;0.8122059694305668;2.9914146024148884;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000028764_rendered.png;
116;116;1213.27;771.677;0.77007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1145.45;692.063;0.886616;1301.45;692.112;0.8803209999999999;995.341;739.1410000000001;0.8086409999999999;1357.34;715.798;0.773818;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000028860_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000028860_rendered.png;0.8259261993669657;46.45497776917669;0.31597204662831857;7.874989077758424;1.2526885980566287;0.6953173229684133;1.179251731369018;0.7139872282380837;14.653061286081076;1.179251731369018;16.728423953283638;1.3906346459368268;0.936089967117699;1.0;1.0;0.994829346534226;0.3029381531796282;0.9939063464593683;0.3029381531796282;0.9832180925885549;1.1551275332162845;4.577918183892322;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000028860_rendered.png
191;191;957.1;268.232;0.895692;1024.73;368.523;0.893134;942.367;368.403;0.786292;789.342;362.35900000000004;0.730746;668.5169999999999;338.935;0.8292290000000001;1110.07;368.38599999999997;0.77661;1280.69;386.01;0.836951;1401.64;344.967;0.790025;1021.65;645.113;0.746859;960.041;645.0509999999999;0.706806;789.192;742.268;0.8931209999999999;754.023;918.7539999999999;0.7762399999999999;1071.9;645.12;0.712699;1192.6;809.8580000000001;0.791817;1333.88;954.153;0.806345;960.063;247.739;0.0994915;977.6260000000001;247.71099999999998;0.9663280000000001;0.0;0.0;0.0;1036.49;268.251;0.885942;1307.4;1010.06;0.726362;1333.75;1007.09;0.728425;1357.29;960.013;0.7130449999999999;674.4639999999999;936.5160000000001;0.710795;680.419;930.558;0.67206;765.7360000000001;933.556;0.805407;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000029310_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000029310_rendered.png;0.0007198781880713107;0.034176853877089325;0.0022547309468397836;0.009251017235085889;2.1024728567131667e-05;3.690397778810528e-06;0.002716761961796584;0.0008970954190716899;0.10934800917896105;0.002716761961796584;0.0310505786157815;7.380795557064824e-06;0.8443683514707536;0.96;1.0;0.9835664274375738;0.35663667909302565;0.9800000738079555;0.35663667909302565;0.9559504611008132;0.8710644779212383;1.0239551460819143;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000029310_rendered.png;;
200;200;954.186;262.464;0.8777799999999999;1021.85;368.45099999999996;0.904856;936.444;365.588;0.811149;783.447;362.525;0.757727;645.122;341.842;0.841417;1101.23;368.349;0.772112;1269.03;389.162;0.830103;1404.47;362.44599999999997;0.8034819999999999;1018.87;645.0459999999999;0.738107;960.035;644.961;0.696387;789.169;745.169;0.8717309999999999;753.992;921.6619999999999;0.781013;1071.83;645.067;0.717593;1192.53;809.811;0.786144;1333.83;954.203;0.8123640000000001;0.0;0.0;0.0;974.827;244.83599999999998;0.952994;0.0;0.0;0.0;1027.73;268.168;0.8911469999999999;1310.25;1012.92;0.743391;1333.81;1007.08;0.7410720000000001;1354.54;962.924;0.701755;671.69;936.493;0.703565;680.4060000000001;930.552;0.664204;765.712;933.586;0.7954979999999999;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000029364_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000029364_rendered.png;0.0011434670583602283;0.06545998752186971;0.0013081691400894796;0.014434010189347632;1.7299230834599832e-05;3.6036708065401157e-06;0.0026846492532580026;0.0011548714105781286;0.17655309893284277;0.0026846492532580026;0.03939715159223859;7.207341613018751e-06;0.8415599098682564;0.92;1.0;0.9835046779371209;0.35046184931961577;0.9800000720734161;0.35046184931961577;0.9550483725369538;0.8473525136138047;1.0758769045948644;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000029364_rendered.png;
270;270;1439.67;241.88099999999997;0.7878149999999999;1051.22;592.071;0.33015900000000004;856.9939999999999;618.5930000000001;0.240217;277.165;904.1210000000001;0.157747;0.0;0.0;0.0;1254.34;515.57;0.296557;1701.7;583.316;0.432088;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1401.4;185.877;0.7922359999999999;0.0;0.0;0.0;1189.67;262.381;0.767895;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000029784_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000029784_rendered.png;0.6553650783092827;37.42111344838179;0.2493841608994081;6.494007644417192;0.8960878558351951;0.5152640822022692;1.015149331086091;0.6064815044845453;16.859481758545595;1.015149331086091;12.98461133897197;1.030528164404538;0.9021624210744698;0.96;1.0;0.9917757064809838;0.3033455502160497;0.9903052816440454;0.3033455502160497;0.973603692127504;0.9498790797869432;2.2059610326642796;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000029784_rendered.png
280;280;1063.05;321.376;0.8552639999999999;1060.03;365.565;0.870927;977.658;368.36;0.811984;830.513;391.954;0.7932060000000001;695.209;389.14099999999996;0.835807;1139.56;362.61300000000006;0.836794;1289.7;350.798;0.7367600000000001;1422.1;321.329;0.773526;1066.0;627.466;0.731735;1010.03;627.365;0.6743279999999999;886.487;783.408;0.73464;745.206;927.515;0.819415;1119.0;627.471;0.724853;1292.57;739.3739999999999;0.8397290000000001;1289.68;933.553;0.77618;1045.32;300.78700000000003;0.8838739999999999;1077.77;303.642;0.866684;1018.84;288.927;0.795613;1098.41;285.99;0.750881;1374.96;959.9939999999999;0.715953;1371.99;953.9960000000001;0.652749;1280.66;954.232;0.8661129999999999;756.923;980.597;0.678647;733.377;974.694;0.66625;739.1489999999999;927.6080000000001;0.63195;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000029844_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000029844_rendered.png;0.6230553239596466;38.687188225671065;0.3165482994039185;6.502107048748586;1.0380401724752424;0.5031422445380733;1.0031373231398317;0.5914280217702315;13.826944750916653;1.0031373231398317;13.970583051401718;1.0062844890761469;0.9047785994692985;1.0;1.0;0.9916413193293054;0.3176914159418869;0.9900628448907615;0.3176914159418869;0.9743638147709969;1.0147581829988859;2.1544743194102365;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000029844_rendered.png
300;300;1054.17;238.90599999999998;0.8421370000000001;1004.25;341.82300000000004;0.881785;927.613;344.889;0.798994;780.443;403.764;0.767918;642.03;412.726;0.791353;1092.47;336.07599999999996;0.810156;1230.81;362.522;0.810424;1378.07;362.523;0.820519;1021.79;618.5;0.740783;965.9110000000001;615.624;0.65769;865.8789999999999;771.62;0.752576;742.2339999999999;927.7310000000001;0.8691409999999999;1074.76;618.524;0.7201;1224.91;756.8380000000001;0.781411;1286.74;930.7139999999999;0.814418;1030.61;224.07;0.9349850000000001;1054.17;221.183;0.8661;974.831;244.71099999999998;0.9575379999999999;0.0;0.0;0.0;1375.09;962.913;0.715052;1374.92;954.03;0.6639149999999999;1280.71;954.2139999999999;0.892173;739.3480000000001;980.6610000000001;0.74605;718.7669999999999;974.7389999999999;0.746011;736.33;930.6210000000001;0.643362;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000029964_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000029964_rendered.png;0.007376160958487835;0.5099937165255513;0.015272748277904938;0.09489458370184457;0.00211886263076988;0.0004280300728347619;0.029258505526934542;0.013841212187162133;0.533169738589043;0.029258505526934542;0.4007785679517942;0.000856060145669659;0.8446064369081118;0.96;1.0;0.983577469752698;0.35704374058241756;0.9800085606014567;0.35704374058241756;0.9560267378073621;0.872823334447888;2.068589203127954;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000029964_rendered.png;
