;Unnamed;Nose_X;Nose_Y;Nose_Conf;Neck_X;Neck_Y;Neck_Conf;Rshoulder_X;Rshoulder_Y;Rshoulder_Conf;Relbow_X;Relbow_Y;Relbow_Conf;Rwrist_X;Rwrist_Y;Rwrist_Conf;Lshoulder_X;Lshoulder_Y;Lshoulder_Conf;Lelbow_X;Lelbow_Y;Lelbow_Conf;Lwrist_X;Lwrist_Y;Lwrist_Conf;MidHip_X;MidHip_Y;MidHip_Conf;Rhip_X;Rhip_Y;Rhip_Conf;Rknee_X;Rknee_Y;Rknee_Conf;Rankle_X;Rankle_Y;Rankle_Conf;Lhip_X;Lhip_Y;Lhip_Conf;Lknee_X;Lknee_Y;Lknee_Conf;Lankle_X;Lankle_Y;Lankle_Conf;Reye_X;Reye_Y;Reye_Conf;Leye_X;Leye_Y;Leye_Conf;Rear_X;Rear_Y;Rear_Conf;Lear_X;Lear_Y;Lear_Conf;Lbigtoe_X;Lbigtoe_Y;Lbigtoe_Conf;Lsmalltoe_X;Lsmalltoe_Y;Lsmalltoe_Conf;Lheel_X;Lheel_Y;Lheel_Conf;Rbigtoe_X;Rbigtoe_Y;Rbigtoe_Conf;Rsmalltoe_X;Rsmalltoe_Y;Rsmalltoe_Conf;Rheel_X;Rheel_Y;Rheel_Conf;Filename;Imagename;braycurtis;canberra;chebyshev;cityblock;correlation;cosine;euclidean;jensenshannon;mahalanobis;minkowski;seuclidean;sqeuclidean;dice;hamming;jaccard;kulsinski;rogerstanimoto;russellrao;sokalmichener;sokalsneath;yule;mahalanobis_minpeak;MahalanobisSummary;UnifSamplBaseline;SBDBaseline
0;0;1001.21;230.054;0.8944540000000001;998.29;389.05;0.883301;860.071;391.964;0.767111;836.285;600.8240000000001;0.9284600000000001;901.1080000000001;668.586;0.7681439999999999;1124.87;386.14;0.751265;1142.46;618.544;0.8478959999999999;1001.2;700.971;0.753617;977.591;724.559;0.525999;895.2689999999999;718.737;0.54819;933.554;698.002;0.731779;1163.1;860.0089999999999;0.619028;1048.36;727.46;0.548798;957.0089999999999;892.303;0.666166;865.835;833.4730000000001;0.271786;974.824;200.77700000000002;0.9558139999999999;1027.7;203.56799999999998;0.905228;936.4630000000001;224.179;0.9052049999999999;1065.94;227.176;0.880202;812.86;874.607;0.18070799999999998;827.558;877.561;0.191613;856.95;806.936;0.19345299999999999;1304.4;818.699;0.25959899999999997;1304.35;836.3530000000001;0.24912600000000001;1168.99;883.535;0.384927;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000000_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.940731775031001;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000000_rendered.png;
35;35;1007.14;224.36599999999999;0.8643379999999999;992.3;383.06300000000005;0.788028;862.951;383.06699999999995;0.75417;853.966;597.885;0.8484200000000001;909.9689999999999;624.445;0.778655;1113.06;380.12699999999995;0.7422340000000001;1112.97;597.975;0.8711610000000001;1010.02;645.069;0.787572;977.6060000000001;718.623;0.538099;892.33;721.568;0.491044;951.1310000000001;677.5219999999999;0.660786;1163.04;859.817;0.621977;1048.29;718.596;0.526513;951.1260000000001;880.6260000000001;0.7042010000000001;851.095;839.296;0.28006;980.584;200.62400000000002;0.959319;1036.48;200.82;0.871568;933.534;224.18;0.938322;1063.02;227.233;0.8417450000000001;786.331;868.7689999999999;0.161706;803.98;877.52;0.206019;830.5160000000001;809.9010000000001;0.190779;1310.23;833.3960000000001;0.284367;1304.33;842.2710000000001;0.267644;1169.01;880.565;0.37199299999999996;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000210_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000210_rendered.png;0.16716038111409262;10.988337570510417;0.21808125116502253;2.1384451847326913;0.6415057919592188;0.1242250006215847;0.4984475912703059;0.27346799707454345;6.408933897630779;0.4984475912703059;6.971782200049184;0.24845000124316996;0.863082875622468;1.0;1.0;0.9856527290219353;0.3617628970628573;0.9824845000124317;0.3617628970628573;0.9618535413365807;0.9536413946092295;3.2489412790707703;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000210_rendered.png;;
75;75;1015.93;224.09900000000002;0.8634809999999999;992.3989999999999;389.108;0.814708;862.8919999999999;392.05400000000003;0.712548;848.2080000000001;600.935;0.718395;948.2180000000001;700.9960000000001;0.385942;1116.03;388.99;0.8002859999999999;1145.39;597.868;0.7269939999999999;1065.9;695.2189999999999;0.502023;1024.71;733.3969999999999;0.321718;954.102;742.2330000000001;0.252583;924.664;715.7489999999999;0.10988599999999998;0.0;0.0;0.0;1095.41;721.643;0.30495300000000003;0.0;0.0;0.0;0.0;0.0;0.0;989.467;197.69099999999997;0.8861020000000001;1045.21;200.78599999999997;0.889491;942.3739999999999;218.227;0.805366;1068.95;230.03400000000002;0.781461;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000450_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000450_rendered.png;0.34616184877562106;22.630440861837787;0.21577371233257298;4.125683723517645;0.7971946001610233;0.2561377562272691;0.7157342470879383;0.41544270328830196;10.832175806108648;0.7157342470879383;10.140574258642117;0.5122755124545381;0.8751737909181254;1.0;1.0;0.9876906446616944;0.3452103610105524;0.9851227551245454;0.3452103610105524;0.9655701356445068;0.9601491542745678;5.292192959831292;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000450_rendered.png
76;76;556.744;315.524;0.9399540000000001;547.931;436.027;0.8718959999999999;436.231;433.24699999999996;0.80292;388.94800000000004;577.313;0.9081549999999999;533.3290000000001;506.76199999999994;0.799379;645.08;436.05800000000005;0.872252;724.554;598.026;0.8785930000000001;598.02;506.708;0.8604629999999999;556.878;742.2919999999999;0.63881;497.949;745.138;0.582735;377.245;709.778;0.742582;633.32;845.252;0.590282;624.508;742.1289999999999;0.646776;812.939;718.735;0.804033;536.148;836.422;0.483872;533.187;294.79200000000003;0.92366;577.33;294.774;0.962051;489.095;306.601;0.8474799999999999;598.001;309.561;0.45678599999999997;436.144;809.9760000000001;0.304212;444.93;827.533;0.26705;497.94800000000004;853.9860000000001;0.21476399999999998;739.319;833.533;0.685;724.577;848.12;0.571703;648.1080000000001;857.0060000000001;0.261372;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000456_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000456_rendered.png;0.3966706635817527;24.112774066459032;0.1973249081298622;4.772725406507748;1.2339409007223632;0.33151988082808703;0.8142725352461384;0.43918523233910917;14.748094540739999;0.8142725352461384;11.504555153754541;0.6630397616561738;0.8888825859951761;1.0;1.0;0.9889862406131268;0.3524178100439775;0.9866303976165618;0.3524178100439775;0.9696950944461945;1.0399500259311605;5.4846409067266535;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000456_rendered.png
100;100;506.871;315.255;0.9190809999999999;574.549;436.20599999999996;0.841648;503.839;433.05;0.751192;371.374;592.1;0.786782;471.426;506.829;0.695328;647.924;442.05300000000005;0.748664;600.7909999999999;624.4830000000001;0.898925;506.62199999999996;503.652;0.811121;544.964;768.7310000000001;0.470408;480.29400000000004;753.9760000000001;0.466229;233.02900000000002;695.064;0.680478;409.555;857.013;0.36196500000000004;600.891;789.324;0.46169799999999994;477.282;765.6360000000001;0.514698;412.56300000000005;857.015;0.302225;506.755;291.733;0.8816440000000001;536.203;291.974;0.9148270000000001;0.0;0.0;0.0;609.724;309.589;0.848145;424.32199999999995;898.198;0.060212699999999994;433.19300000000004;898.1460000000001;0.102374;436.16;880.502;0.200798;0.0;0.0;0.0;0.0;0.0;0.0;444.91900000000004;883.4889999999999;0.180801;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000600_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000600_rendered.png;0.1612341311210745;11.319286152063615;0.23533884847741574;2.0075937973820723;0.71796223535845;0.16188814800738283;0.5690134409790033;0.3055286084819195;24.872171034168073;0.5690134409790033;7.680041953011927;0.32377629601476565;0.8653789064157116;0.96;1.0;0.9862096396135376;0.3545918896534142;0.9832377629601478;0.3545918896534142;0.9625650791128787;0.9484631907965525;6.863562536788881;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000600_rendered.png;
116;116;995.305;365.474;0.909493;992.428;509.659;0.829377;880.4019999999999;506.73699999999997;0.8249059999999999;806.987;692.154;0.86355;730.37;812.8810000000001;0.844424;1101.35;509.75699999999995;0.754137;1180.67;698.0160000000001;0.819881;1274.86;789.331;0.82499;986.4889999999999;830.475;0.662669;912.9169999999999;830.429;0.652496;718.684;883.618;0.6900390000000001;1001.23;930.654;0.348179;1063.02;827.551;0.620016;1260.23;854.08;0.696366;862.909;951.058;0.382959;974.554;341.95;0.9579620000000001;1018.88;341.994;0.927666;945.215;365.33;0.886653;1048.18;365.465;0.9697600000000001;765.784;951.164;0.38113;786.301;960.002;0.33865100000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1010.03;927.669;0.0548494;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000726_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000726_rendered.png;0.19377049507800323;11.446688747782849;0.21966617775090577;2.486576426119625;0.6592577464347044;0.11656745164665594;0.482840453248598;0.24469729738087106;10.495941171411259;0.482840453248598;6.797576870028358;0.23313490329331157;0.8623141758569747;0.96;1.0;0.985533085600836;0.3624200369196978;0.9823313490329331;0.3624200369196978;0.9616147113914685;0.9532246206360095;6.670516745671523;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000726_rendered.png
117;117;998.196;365.538;0.939845;992.4110000000001;506.837;0.848701;880.453;506.655;0.8263959999999999;809.8430000000001;689.1619999999999;0.87316;730.416;812.868;0.8423930000000001;1101.31;509.671;0.764779;1177.8;695.0039999999999;0.8445010000000001;1274.94;789.37;0.8260719999999999;986.5419999999999;827.581;0.666532;915.8689999999999;827.546;0.648044;718.686;886.416;0.692937;1001.26;930.548;0.331106;1063.0;824.63;0.612518;1257.32;857.066;0.7307279999999999;906.9860000000001;939.413;0.38852;974.737;342.05699999999996;0.9669549999999999;1021.76;344.816;0.939407;945.25;365.35;0.9017430000000001;1048.26;365.601;0.9577100000000001;815.79;942.337;0.267536;830.497;954.061;0.275231;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1007.15;924.678;0.0515826;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000000732_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000732_rendered.png;0.003586772017722793;0.15823243436245973;0.008374842109036107;0.04576722894593409;0.0005365569424170546;0.0001000464212971286;0.014145417724278748;0.00520246592999237;0.8374074970563162;0.014145417724278748;0.1958433667816956;0.00020009284259433937;0.8432759309830565;0.88;1.0;0.9835435059551174;0.3541859377046966;0.9800020009284259;0.3541859377046966;0.9556000807376498;0.8617095901547351;6.566510905740753;;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000000732_rendered.png
200;200;998.289;385.968;0.937207;995.345;512.669;0.8267389999999999;880.554;509.707;0.812542;833.363;692.293;0.9253959999999999;753.9580000000001;803.9989999999999;0.8342870000000001;1104.27;515.568;0.7517;1163.18;692.007;0.9137069999999999;1221.91;780.4630000000001;0.795087;989.404;827.525;0.664714;915.8960000000001;827.512;0.649515;712.794;886.4860000000001;0.8134140000000001;1001.23;930.669;0.368311;1063.0;821.68;0.630534;1257.32;854.066;0.795399;862.945;951.171;0.43922799999999995;974.819;362.38699999999994;0.946041;1021.83;362.461;0.943133;945.2460000000001;371.311;0.866907;1048.37;374.27;0.908055;765.76;951.201;0.40821;783.4069999999999;960.068;0.350643;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1012.98;930.6139999999999;0.05737130000000001;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001230_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001230_rendered.png;0.0021881012411943965;0.09779960159238386;0.0041975463302909855;0.027972172498656966;0.00013339699315206843;2.440168489059591e-05;0.0069859408658410685;0.0025526620355408084;0.41010322149779327;0.0069859408658410685;0.09747873902058565;4.8803369781028247e-05;0.8435553872018731;0.88;1.0;0.983548653293141;0.3548251842766633;0.9800004880336978;0.3548251842766633;0.9556897747797879;0.8641269605662164;1.6532328406562675;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001230_rendered.png;
217;217;998.352;368.37800000000004;0.944095;995.335;509.67400000000004;0.8566600000000001;880.561;506.849;0.8236690000000001;809.814;689.253;0.880007;721.694;809.959;0.8752629999999999;1104.23;509.657;0.768592;1180.77;692.212;0.860133;1266.15;789.367;0.815632;986.528;824.6389999999999;0.654101;912.972;824.564;0.640275;724.577;895.2460000000001;0.677902;1001.22;930.6189999999999;0.366217;1063.0;824.568;0.607276;1254.33;853.962;0.644864;898.197;942.335;0.36315;977.576;344.881;0.9411889999999999;1021.94;350.70599999999996;0.905546;948.263;362.615;0.947039;1048.46;368.42900000000003;0.9251510000000001;783.378;954.013;0.280997;798.11;962.8960000000001;0.23794899999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1007.14;927.6010000000001;0.06242230000000001;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001332_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001332_rendered.png;0.0008644167967730151;0.039126952519353296;0.002007774387926403;0.01103153000262879;2.9635473772771093e-05;5.538582166564332e-06;0.003328237421397072;0.0012270241555261852;0.24616713688753702;0.003328237421397072;0.04710493534037087;1.1077164333187833e-05;0.8432833869964416;0.88;1.0;0.9835423904539459;0.3542299301618137;0.9800001107716433;0.3542299301618137;0.9556024743668907;0.8618333462784884;0.8458720166797185;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001332_rendered.png;;
300;300;1024.71;271.324;0.89831;848.1189999999999;762.704;0.553906;571.49;783.423;0.324988;0.0;0.0;0.0;0.0;0.0;0.0;1136.55;745.155;0.528995;1283.69;1074.85;0.161712;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;930.5830000000001;230.142;0.8227030000000001;995.298;227.082;0.43137700000000007;745.145;327.246;0.765428;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;/content/drive/My Drive/Thesis/json_output/youtube_timecode_000000001896_keypoints.json;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001896_rendered.png;0.013225564724181025;0.29511515466683674;0.011105791044640323;0.09716799033881374;0.0004837428545150235;0.0003562240536791883;0.026691723574136232;0.012050921377255686;0.8983148373500843;0.026691723574136232;0.4315737577093591;0.0007124481073580998;0.7278763631149894;0.32;1.0;0.9819388362975948;0.1932400183948183;0.9800071244810736;0.1932400183948183;0.9145240763769374;0.28154734688942196;5.514362048079088;;/content/drive/My Drive/Thesis/jpg_output/youtube_timecode_000000001896_rendered.png;
